"site","summary.statistic","n_year","flow_metric","current_value","reference_value","deltaH","notes"
NA,NA,NA,NA,NA,NA,NA,NA
"312PS0099","min",19,"DS_Tim",384,389,-5,"Dry, 2007"
"312PS0099","median",19,"DS_Tim",130,130,0,"Wet, 2005"
"312PS0099","max",19,"DS_Tim",391,391,0,"Dry, 2012"
"312PS0099","mean",19,"DS_Tim",NA,NA,-0.631578947368421,NA
"312PS0099","min",3,"Peak_Dur_10",1,1,0,"Wet, 1991"
"312PS0099","median",3,"Peak_Dur_10",4,4,0,"Wet, 2005"
"312PS0099","max",3,"Peak_Dur_10",7,7,0,"Wet, 1998"
"312PS0099","mean",3,"Peak_Dur_10",NA,NA,0,NA
"312PS0099","min",12,"Peak_Dur_2",1,1,0,"Dry, 1999"
"312PS0099","median",12,"Peak_Dur_2",25,25,0,"Wet, 2006"
"312PS0099","max",12,"Peak_Dur_2",241,241,0,"Wet, 1998"
"312PS0099","mean",12,"Peak_Dur_2",NA,NA,0,NA
"312PS0099","min",5,"Peak_Dur_5",1,1,0,"Wet, 2011"
"312PS0099","median",5,"Peak_Dur_5",3,3,0,"Wet, 1991"
"312PS0099","max",5,"Peak_Dur_5",8,8,0,"Wet, 2005"
"312PS0099","mean",5,"Peak_Dur_5",NA,NA,0,NA
"312PS0099","min",3,"Peak_Fre_10",1,1,0,"Wet, 1991"
"312PS0099","median",3,"Peak_Fre_10",1,1,0,"Wet, 1998"
"312PS0099","max",3,"Peak_Fre_10",1,1,0,"Wet, 2005"
"312PS0099","mean",3,"Peak_Fre_10",NA,NA,0,NA
"312PS0099","min",12,"Peak_Fre_2",1,1,0,"Wet, 1991"
"312PS0099","median",12,"Peak_Fre_2",1,1,0,"Moderate, 2000"
"312PS0099","max",12,"Peak_Fre_2",3,3,0,"Wet, 2011"
"312PS0099","mean",12,"Peak_Fre_2",NA,NA,0,NA
"312PS0099","min",5,"Peak_Fre_5",1,1,0,"Wet, 1991"
"312PS0099","median",5,"Peak_Fre_5",1,1,0,"Wet, 1998"
"312PS0099","max",5,"Peak_Fre_5",3,3,0,"Wet, 1993"
"312PS0099","mean",5,"Peak_Fre_5",NA,NA,0,NA
"312PS0099","min",3,"Peak_Tim_10",100,100,0,"Wet, 2005"
"312PS0099","median",3,"Peak_Tim_10",125,125,0,"Wet, 1998"
"312PS0099","max",3,"Peak_Tim_10",169,169,0,"Wet, 1991"
"312PS0099","mean",3,"Peak_Tim_10",NA,NA,0,NA
"312PS0099","min",12,"Peak_Tim_2",0,0,0,"Dry, 1999"
"312PS0099","median",12,"Peak_Tim_2",101,101,0,"Wet, 1993"
"312PS0099","max",12,"Peak_Tim_2",185,185,0,"Wet, 2006"
"312PS0099","mean",12,"Peak_Tim_2",NA,NA,0,NA
"312PS0099","min",5,"Peak_Tim_5",92,92,0,"Wet, 2005"
"312PS0099","median",5,"Peak_Tim_5",108,108,0,"Wet, 1993"
"312PS0099","max",5,"Peak_Tim_5",171,171,0,"Wet, 2011"
"312PS0099","mean",5,"Peak_Tim_5",NA,NA,0,NA
"312PS0099","min",11,"SP_Dur",22,22,0,"Moderate, 2000"
"312PS0099","median",11,"SP_Dur",24,24,0,"Wet, 1993"
"312PS0099","max",11,"SP_Dur",111,111,0,"Wet, 1992"
"312PS0099","mean",11,"SP_Dur",NA,NA,0,NA
"312PS0099","min",20,"SP_Mag",404.1157917,404.163125,-0.05,"Wet, 1991"
