"site","summary.statistic","n_year","flow_metric","current_value","reference_value","deltaH","notes"
"312PS0099","median",20,"SP_Mag",7.1085,7.1095,0,"Dry, 2007"
"312PS0099","max",20,"SP_Mag",330.673875,330.589375,0.08,"Wet, 1993"
"312PS0099","mean",20,"SP_Mag",NA,NA,0.0085,NA
"312PS0099","min",11,"SP_ROC",0.00343676730446412,0.00343243823067817,0,"Wet, 1992"
"312PS0099","median",11,"SP_ROC",0.0797118915669623,0.0797116912061076,0,"Wet, 2011"
"312PS0099","max",11,"SP_ROC",0.105997226563543,0.105998557603087,0,"Wet, 1991"
"312PS0099","mean",11,"SP_ROC",NA,NA,0,NA
"312PS0099","min",20,"SP_Tim",0,0,0,"Moderate, 1994"
"312PS0099","median",20,"SP_Tim",93,93,0,"Moderate, 2003"
"312PS0099","max",20,"SP_Tim",228,228,0,"Wet, 1998"
"312PS0099","mean",20,"SP_Tim",NA,NA,0,NA
"312PS0099","min",10,"Wet_BFL_Dur",25,25,0,"Wet, 2006"
"312PS0099","median",10,"Wet_BFL_Dur",40,40,0,"Wet, 2005"
"312PS0099","max",10,"Wet_BFL_Dur",122,122,0,"Wet, 1998"
"312PS0099","mean",10,"Wet_BFL_Dur",NA,NA,0,NA
"312PS0099","min",10,"Wet_BFL_Mag_10",0,0,0,"Wet, 1991"
"312PS0099","median",10,"Wet_BFL_Mag_10",0.3667458336,0.36679164,0,"Moderate, 2010"
"312PS0099","max",10,"Wet_BFL_Mag_10",1.5877916667,1.5369872,0.05,"Wet, 2011"
"312PS0099","mean",10,"Wet_BFL_Mag_10",NA,NA,0.01,NA
"312PS0099","min",10,"Wet_BFL_Mag_50",52.6695625,52.67570833,-0.01,"Wet, 1993"
"312PS0099","median",10,"Wet_BFL_Mag_50",8.2835,8.2844375,0,"Wet, 2011"
"312PS0099","max",10,"Wet_BFL_Mag_50",91.91066667,91.718915,0.19,"Wet, 2005"
"312PS0099","mean",10,"Wet_BFL_Mag_50",NA,NA,0.019,NA
"312PS0099","min",10,"Wet_Tim",60,60,0,"Wet, 1997"
"312PS0099","median",10,"Wet_Tim",87,87,0,"Wet, 1993"
"312PS0099","max",10,"Wet_Tim",167,167,0,"Wet, 2006"
"312PS0099","mean",10,"Wet_Tim",NA,NA,0,NA
"312PS0099","min",6,"DS_Dur_WS",131,131,0,"Dry, 1999"
"312PS0099","median",6,"DS_Dur_WS",238,238,0,"Wet, 1992"
"312PS0099","max",6,"DS_Dur_WS",143,142,1,"Dry, 2002"
"312PS0099","mean",6,"DS_Dur_WS",NA,NA,0.166666666666667,NA
"312PS0099","min",6,"DS_Mag_50",0.31525,0.31260415,0,"Dry, 2002"
"312PS0099","median",6,"DS_Mag_50",2.3745,2.374833,0,"Moderate, 2010"
"312PS0099","max",6,"DS_Mag_50",12.86566667,12.86717,0,"Wet, 2005"
"312PS0099","mean",6,"DS_Mag_50",NA,NA,0,NA
"312PS0099","min",6,"DS_Mag_90",0.3830499998,0.37928753,0,"Dry, 2002"
"312PS0099","median",6,"DS_Mag_90",3.34575,3.346167,0,"Moderate, 2010"
"312PS0099","max",6,"DS_Mag_90",22.363266664,22.33149,0.03,"Wet, 2005"
"312PS0099","mean",6,"DS_Mag_90",NA,NA,0.005,NA
"312PS0099",NA,23,"Peak_10",534.40000834,534.20132498,0.2,NA
"312PS0099","min",1,"Peak_2",15.96520833,15.96708333,0,"NA, NA"
"312PS0099","median",1,"Peak_2",NA,NA,0,NA
"312PS0099","max",1,"Peak_2",15.96520833,15.96708333,0,"NA, NA"
"312PS0099","mean",1,"Peak_2",NA,NA,0,NA
"312PS0099",NA,23,"Peak_5",342.75430832,342.66304,0.09,NA
"312WE1028","min",4,"DS_Dur_WS",88,88,0,"Moderate, 1994"
"312WE1028","median",4,"DS_Dur_WS",110,110,0,"Moderate, 1997"
"312WE1028","max",4,"DS_Dur_WS",279,278,1,"Wet, 1991"
"312WE1028","mean",4,"DS_Dur_WS",NA,NA,0.25,NA
"312WE1028","min",4,"DS_Mag_50",0.6063333335,0.6022916665,0,"Moderate, 1997"
"312WE1028","median",4,"DS_Mag_50",1.651833333,1.64925,0,"Wet, 1991"
"312WE1028","max",4,"DS_Mag_50",4.418,4.4186875,0,"Moderate, 1994"
"312WE1028","mean",4,"DS_Mag_50",NA,NA,0,NA
"312WE1028","min",4,"DS_Mag_90",0.7017416667,0.6994125003,0,"Moderate, 1997"
"312WE1028","median",4,"DS_Mag_90",4.977891667,4.9786375,0,"Moderate, 1994"
"312WE1028","max",4,"DS_Mag_90",2.4186249998,2.4114999999,0.01,"Wet, 1991"
"312WE1028","mean",4,"DS_Mag_90",NA,NA,0.0025,NA
"312WE1028","min",13,"DS_Tim",381,389,-8,"Moderate, 1997"
"312WE1028","median",13,"DS_Tim",385,389,-4,"Dry, 2007"
"312WE1028","max",13,"DS_Tim",389,389,0,"Moderate, 1999"
"312WE1028","mean",13,"DS_Tim",NA,NA,-1.53846153846154,NA
"312WE1028","min",12,"Peak_Dur_2",1,1,0,"Moderate, 2000"
"312WE1028","median",12,"Peak_Dur_2",241,241,0,"Wet, 1998"
"312WE1028","max",12,"Peak_Dur_2",365,365,0,"Moderate, 1999"
"312WE1028","mean",12,"Peak_Dur_2",NA,NA,0,NA
"312WE1028","min",12,"Peak_Fre_2",1,1,0,"Wet, 1991"
"312WE1028","median",12,"Peak_Fre_2",1,1,0,"Moderate, 1997"
"312WE1028","max",12,"Peak_Fre_2",2,2,0,"Wet, 1993"
"312WE1028","mean",12,"Peak_Fre_2",NA,NA,0,NA
"312WE1028","min",12,"Peak_Tim_2",0,0,0,"Moderate, 1994"
"312WE1028","median",12,"Peak_Tim_2",0,0,0,"Moderate, 2000"
"312WE1028","max",12,"Peak_Tim_2",170,170,0,"Wet, 1991"
"312WE1028","mean",12,"Peak_Tim_2",NA,NA,0,NA
"312WE1028","min",6,"SP_Dur",21,22,-1,"Wet, 1991"
"312WE1028","median",6,"SP_Dur",22,22,0,"Wet, 1993"
"312WE1028","max",6,"SP_Dur",140,140,0,"Wet, 2005"
"312WE1028","mean",6,"SP_Dur",NA,NA,-0.166666666666667,NA
"312WE1028","min",13,"SP_Mag",755.7961667,755.9096667,-0.11,"Wet, 1993"
"312WE1028","median",13,"SP_Mag",1.485333333,1.485583,0,"Dry, 2007"
"312WE1028","max",13,"SP_Mag",111.1385,111.1119583,0.03,"Wet, 1991"
"312WE1028","mean",13,"SP_Mag",NA,NA,-0.0123076923076923,NA
"312WE1028","min",6,"SP_ROC",0.00343902223509656,0.00344477388525856,0,"Wet, 2005"
"312WE1028","median",6,"SP_ROC",0.0723560502182617,0.0723536745751188,0,"Wet, 1995"
"312WE1028","max",6,"SP_ROC",0.128779331933107,0.122072766085037,0.01,"Wet, 1991"
"312WE1028","mean",6,"SP_ROC",NA,NA,0.00166666666666667,NA
"312WE1028","min",13,"SP_Tim",0,0,0,"Moderate, 1994"
"312WE1028","median",13,"SP_Tim",0,0,0,"Wet, 2006"
"312WE1028","max",13,"SP_Tim",242,242,0,"Wet, 1993"
"312WE1028","mean",13,"SP_Tim",NA,NA,0,NA
"312WE1028","min",6,"Wet_BFL_Dur",27,27,0,"Wet, 1991"
"312WE1028","median",6,"Wet_BFL_Dur",29,29,0,"Wet, 1993"
"312WE1028","max",6,"Wet_BFL_Dur",81,81,0,"Wet, 1995"
"312WE1028","mean",6,"Wet_BFL_Dur",NA,NA,0,NA
"312WE1028","min",6,"Wet_BFL_Mag_10",0,0,0,"Wet, 1991"
"312WE1028","median",6,"Wet_BFL_Mag_10",0.487504167,0.4825916667,0,"Wet, 1998"
"312WE1028","max",6,"Wet_BFL_Mag_10",3.779875,3.74175,0.04,"Wet, 1995"
"312WE1028","mean",6,"Wet_BFL_Mag_10",NA,NA,0.00833333333333333,NA
"312WE1028","min",6,"Wet_BFL_Mag_50",7.615354167,7.6164375,0,"Wet, 2005"
"312WE1028","median",6,"Wet_BFL_Mag_50",7.615354167,7.6164375,0,"Wet, 2005"
"312WE1028","max",6,"Wet_BFL_Mag_50",109.0800625,109.0545208,0.03,"Wet, 1998"
"312WE1028","mean",6,"Wet_BFL_Mag_50",NA,NA,0.0116666666666667,NA
"312WE1028","min",6,"Wet_Tim",81,81,0,"Wet, 2005"
"312WE1028","median",6,"Wet_Tim",110,110,0,"Wet, 1998"
"312WE1028","max",6,"Wet_Tim",213,213,0,"Wet, 1993"
"312WE1028","mean",6,"Wet_Tim",NA,NA,0,NA
"312WE1028","min",5,"Peak_Dur_5",2,2,0,"Wet, 1992"
"312WE1028","median",5,"Peak_Dur_5",10,10,0,"Wet, 2005"
"312WE1028","max",5,"Peak_Dur_5",14,14,0,"Wet, 1998"
"312WE1028","mean",5,"Peak_Dur_5",NA,NA,0,NA
"312WE1028","min",5,"Peak_Fre_5",1,1,0,"Wet, 1992"
"312WE1028","median",5,"Peak_Fre_5",2,2,0,"Wet, 1998"
"312WE1028","max",5,"Peak_Fre_5",3,3,0,"Wet, 1995"
"312WE1028","mean",5,"Peak_Fre_5",NA,NA,0,NA
"312WE1028","min",5,"Peak_Tim_5",115,115,0,"Wet, 1995"
"312WE1028","median",5,"Peak_Tim_5",121.5,121.5,0,"Wet, 2005"
"312WE1028","max",5,"Peak_Tim_5",145,145,0,"Wet, 1993"
"312WE1028","mean",5,"Peak_Tim_5",NA,NA,0,NA
"312WE1028","min",3,"Peak_Dur_10",1,1,0,"Wet, 1998"
"312WE1028","median",3,"Peak_Dur_10",1,1,0,"Wet, 2005"
"312WE1028","max",3,"Peak_Dur_10",7,7,0,"Wet, 1993"
"312WE1028","mean",3,"Peak_Dur_10",NA,NA,0,NA
"312WE1028","min",3,"Peak_Fre_10",1,1,0,"Wet, 1993"
"312WE1028","median",3,"Peak_Fre_10",1,1,0,"Wet, 1998"
"312WE1028","max",3,"Peak_Fre_10",1,1,0,"Wet, 2005"
"312WE1028","mean",3,"Peak_Fre_10",NA,NA,0,NA
"312WE1028","min",3,"Peak_Tim_10",101,101,0,"Wet, 2005"
"312WE1028","median",3,"Peak_Tim_10",130,130,0,"Wet, 1998"
"312WE1028","max",3,"Peak_Tim_10",235,235,0,"Wet, 1993"
"312WE1028","mean",3,"Peak_Tim_10",NA,NA,0,NA
"312WE1028",NA,23,"Peak_10",344.24160836,344.14256666,0.1,NA
"312WE1028","min",1,"Peak_2",2.394125,2.3945,0,"NA, NA"
"312WE1028","median",1,"Peak_2",NA,NA,0,NA
"312WE1028","max",1,"Peak_2",2.394125,2.3945,0,"NA, NA"
"312WE1028","mean",1,"Peak_2",NA,NA,0,NA
"312WE1028",NA,23,"Peak_5",139.16580002,139.0854583,0.08,NA
"312WE1035","min",3,"DS_Dur_WS",86,86,0,"Moderate, 1994"
"312WE1035","median",3,"DS_Dur_WS",279,279,0,"Wet, 1991"
"312WE1035","max",3,"DS_Dur_WS",380,380,0,"Wet, 1992"
"312WE1035","mean",3,"DS_Dur_WS",NA,NA,0,NA
"312WE1035","min",3,"DS_Mag_50",0.704375,0.7045,0,"Wet, 1991"
"312WE1035","median",3,"DS_Mag_50",1.553,1.5533333335,0,"Wet, 1992"
"312WE1035","max",3,"DS_Mag_50",1.617875,1.6182708335,0,"Moderate, 1994"
"312WE1035","mean",3,"DS_Mag_50",NA,NA,0,NA
"312WE1035","min",3,"DS_Mag_90",1.0313416666,1.0315916666,0,"Wet, 1991"
"312WE1035","median",3,"DS_Mag_90",1.817916667,1.8183125,0,"Moderate, 1994"
"312WE1035","max",3,"DS_Mag_90",14.256720833,14.25983333,0,"Wet, 1992"
"312WE1035","mean",3,"DS_Mag_90",NA,NA,0,NA
"312WE1035","min",12,"DS_Tim",386,389,-3,"Moderate, 1994"
"312WE1035","median",12,"DS_Tim",191,191,0,"Wet, 2001"
"312WE1035","max",12,"DS_Tim",389,389,0,"Dry, 1999"
"312WE1035","mean",12,"DS_Tim",NA,NA,-0.583333333333333,NA
"312WE1035","min",12,"Peak_Dur_2",1,1,0,"Moderate, 2006"
"312WE1035","median",12,"Peak_Dur_2",85,85,0,"Dry, 1999"
"312WE1035","max",12,"Peak_Dur_2",307,307,0,"Moderate, 1994"
"312WE1035","mean",12,"Peak_Dur_2",NA,NA,0,NA
"312WE1035","min",12,"Peak_Fre_2",1,1,0,"Wet, 1991"
"312WE1035","median",12,"Peak_Fre_2",1,1,0,"Dry, 1999"
"312WE1035","max",12,"Peak_Fre_2",2,2,0,"Wet, 1993"
"312WE1035","mean",12,"Peak_Fre_2",NA,NA,0,NA
"312WE1035","min",12,"Peak_Tim_2",0,0,0,"Moderate, 1994"
"312WE1035","median",12,"Peak_Tim_2",101,101,0,"Wet, 1995"
"312WE1035","max",12,"Peak_Tim_2",173,173,0,"Wet, 2011"
"312WE1035","mean",12,"Peak_Tim_2",NA,NA,0,NA
"312WE1035","min",8,"SP_Dur",18,18,0,"Wet, 2011"
"312WE1035","median",8,"SP_Dur",27,27,0,"Wet, 2001"
"312WE1035","max",8,"SP_Dur",146,146,0,"Wet, 2005"
"312WE1035","mean",8,"SP_Dur",NA,NA,0,NA
"312WE1035","min",12,"SP_Mag",70.76258333,70.77829,-0.02,"Wet, 2005"
"312WE1035","median",12,"SP_Mag",3.053583333,3.05425,0,"Dry, 1999"
"312WE1035","max",12,"SP_Mag",322.212625,322.2062083,0.01,"Wet, 1993"
"312WE1035","mean",12,"SP_Mag",NA,NA,-0.00416666666666667,NA
"312WE1035","min",8,"SP_ROC",0.0034416063488755,0.00344266636401472,0,"Wet, 2005"
"312WE1035","median",8,"SP_ROC",0.0731796355183355,0.0731795672264544,0,"Wet, 1995"
"312WE1035","max",8,"SP_ROC",0.131340023755888,0.131390301352279,0,"Wet, 2011"
"312WE1035","mean",8,"SP_ROC",NA,NA,0,NA
"312WE1035","min",12,"SP_Tim",0,0,0,"Moderate, 1994"
"312WE1035","median",12,"SP_Tim",150,150,0,"Wet, 1998"
"312WE1035","max",12,"SP_Tim",241,241,0,"Wet, 1993"
"312WE1035","mean",12,"SP_Tim",NA,NA,0,NA
"312WE1035","min",8,"Wet_BFL_Dur",28,33,-5,"Wet, 2001"
"312WE1035","median",8,"Wet_BFL_Dur",35,35,0,"Wet, 1991"
"312WE1035","max",8,"Wet_BFL_Dur",83,83,0,"Wet, 1995"
"312WE1035","mean",8,"Wet_BFL_Dur",NA,NA,-0.625,NA
"312WE1035","min",8,"Wet_BFL_Mag_10",0,0,0,"Wet, 1991"
"312WE1035","median",8,"Wet_BFL_Mag_10",0.1487999999,0.14808334,0,"Wet, 2001"
"312WE1035","max",8,"Wet_BFL_Mag_10",1.3829333334,1.3666249998,0.02,"Wet, 1995"
"312WE1035","mean",8,"Wet_BFL_Mag_10",NA,NA,0.0025,NA
"312WE1035","min",8,"Wet_BFL_Mag_50",0.000916667,0,0,"Wet, 1991"
"312WE1035","median",8,"Wet_BFL_Mag_50",0.432833333,0.43,0,"Wet, 1992"
"312WE1035","max",8,"Wet_BFL_Mag_50",39.034270835,39.0230625,0.01,"Wet, 1998"
"312WE1035","mean",8,"Wet_BFL_Mag_50",NA,NA,0.0025,NA
"312WE1035","min",8,"Wet_Tim",80,80,0,"Wet, 2005"
"312WE1035","median",8,"Wet_Tim",114,114,0,"Wet, 1992"
"312WE1035","max",8,"Wet_Tim",136,131,5,"Wet, 2001"
"312WE1035","mean",8,"Wet_Tim",NA,NA,0.625,NA
"312WE1035","min",5,"Peak_Dur_5",3,3,0,"Wet, 1992"
"312WE1035","median",5,"Peak_Dur_5",10,10,0,"Wet, 1995"
"312WE1035","max",5,"Peak_Dur_5",12,12,0,"Wet, 1998"
"312WE1035","mean",5,"Peak_Dur_5",NA,NA,0,NA
"312WE1035","min",5,"Peak_Fre_5",1,1,0,"Wet, 1993"
"312WE1035","median",5,"Peak_Fre_5",2,2,0,"Wet, 1992"
"312WE1035","max",5,"Peak_Fre_5",3,3,0,"Wet, 1995"
"312WE1035","mean",5,"Peak_Fre_5",NA,NA,0,NA
"312WE1035","min",5,"Peak_Tim_5",115,115,0,"Wet, 1995"
"312WE1035","median",5,"Peak_Tim_5",121.5,121.5,0,"Wet, 2005"
"312WE1035","max",5,"Peak_Tim_5",234,234,0,"Wet, 1993"
"312WE1035","mean",5,"Peak_Tim_5",NA,NA,0,NA
"312WE1035","min",3,"Peak_Dur_10",1,1,0,"Wet, 1998"
"312WE1035","median",3,"Peak_Dur_10",2,2,0,"Wet, 2005"
"312WE1035","max",3,"Peak_Dur_10",8,8,0,"Wet, 1993"
"312WE1035","mean",3,"Peak_Dur_10",NA,NA,0,NA
"312WE1035","min",3,"Peak_Fre_10",1,1,0,"Wet, 1993"
"312WE1035","median",3,"Peak_Fre_10",1,1,0,"Wet, 1998"
"312WE1035","max",3,"Peak_Fre_10",1,1,0,"Wet, 2005"
"312WE1035","mean",3,"Peak_Fre_10",NA,NA,0,NA
"312WE1035","min",3,"Peak_Tim_10",101,101,0,"Wet, 2005"
"312WE1035","median",3,"Peak_Tim_10",130,130,0,"Wet, 1998"
"312WE1035","max",3,"Peak_Tim_10",234,234,0,"Wet, 1993"
"312WE1035","mean",3,"Peak_Tim_10",NA,NA,0,NA
"312WE1035",NA,23,"Peak_10",125.47173336,125.46905002,0,NA
"312WE1035","min",1,"Peak_2",2.288833333,2.2895,0,"NA, NA"
"312WE1035","median",1,"Peak_2",NA,NA,0,NA
"312WE1035","max",1,"Peak_2",2.288833333,2.2895,0,"NA, NA"
"312WE1035","mean",1,"Peak_2",NA,NA,0,NA
"312WE1035",NA,23,"Peak_5",57.613308334,57.583166666,0.03,NA
"314SYL","min",12,"DS_Tim",173,342,-169,"Wet, 2001"
"314SYL","median",12,"DS_Tim",NA,NA,-2.5,NA
"314SYL","max",12,"DS_Tim",322,199,123,"Wet, 1993"
"314SYL","mean",12,"DS_Tim",NA,NA,-33,NA
"314SYL","min",10,"Peak_Dur_2",1,365,-364,"Moderate, 1997"
"314SYL","median",10,"Peak_Dur_2",NA,NA,-282,NA
"314SYL","max",10,"Peak_Dur_2",3,1,2,"Wet, 2001"
"314SYL","mean",10,"Peak_Dur_2",NA,NA,-234,NA
"314SYL","min",4,"Peak_Dur_5",34,210,-176,"Wet, 1995"
"314SYL","median",4,"Peak_Dur_5",NA,NA,-75,NA
"314SYL","max",4,"Peak_Dur_5",6,8,-2,"Wet, 1993"
"314SYL","mean",4,"Peak_Dur_5",NA,NA,-82,NA
"314SYL","min",10,"Peak_Fre_2",1,1,0,"Wet, 1993"
"314SYL","median",10,"Peak_Fre_2",1,1,0,"Moderate, 1997"
"314SYL","max",10,"Peak_Fre_2",3,1,2,"Wet, 2005"
"314SYL","mean",10,"Peak_Fre_2",NA,NA,1,NA
"314SYL","min",4,"Peak_Fre_5",1,1,0,"Wet, 1993"
"314SYL","median",4,"Peak_Fre_5",1,1,0,"Wet, 1995"
"314SYL","max",4,"Peak_Fre_5",2,1,1,"Wet, 2005"
"314SYL","mean",4,"Peak_Fre_5",NA,NA,0.25,NA
"314SYL","min",10,"Peak_Tim_2",128.5,155,-26.5,"Wet, 1995"
"314SYL","median",10,"Peak_Tim_2",NA,NA,83.25,NA
"314SYL","max",10,"Peak_Tim_2",172,0,172,"Moderate, 2000"
"314SYL","mean",10,"Peak_Tim_2",NA,NA,80.45,NA
"314SYL","min",4,"Peak_Tim_5",155,155,0,"Wet, 1995"
"314SYL","median",4,"Peak_Tim_5",161.5,161.5,0,"Wet, 1998"
"314SYL","max",4,"Peak_Tim_5",149,144,5,"Wet, 2005"
"314SYL","mean",4,"Peak_Tim_5",NA,NA,1.25,NA
"314SYL","min",4,"SP_Dur",12,14,-2,"Wet, 2005"
"314SYL","median",4,"SP_Dur",12,14,-2,"Wet, 2005"
"314SYL","max",4,"SP_Dur",139,16,123,"Wet, 1993"
"314SYL","mean",4,"SP_Dur",NA,NA,30.25,NA
"314SYL","min",12,"SP_Mag",45.18345833,63.937875,-18.75,"Moderate, 1996"
"314SYL","median",12,"SP_Mag",NA,NA,17.405,NA
"314SYL","max",12,"SP_Mag",91.89020833,9.326,82.56,"Moderate, 2000"
"314SYL","mean",12,"SP_Mag",NA,NA,21.97,NA
"314SYL","min",4,"SP_ROC",0.0047910885737198,0.0812486769401461,-0.08,"Wet, 1993"
"314SYL","median",4,"SP_ROC",0.03432465813067,0.0343236373545817,0,"Wet, 1998"
"314SYL","max",4,"SP_ROC",0.0946982076616557,0.0543366140616828,0.04,"Wet, 2005"
"314SYL","mean",4,"SP_ROC",NA,NA,-0.01,NA
"314SYL","min",12,"SP_Tim",0,0,0,"Dry, 2007"
"314SYL","median",12,"SP_Tim",NA,NA,139,NA
"314SYL","max",12,"SP_Tim",237,0,237,"Wet, 2006"
"314SYL","mean",12,"SP_Tim",NA,NA,109.75,NA
"314SYL","min",4,"Wet_BFL_Dur",34,34,0,"Wet, 2005"
"314SYL","median",4,"Wet_BFL_Dur",39,39,0,"Wet, 1995"
"314SYL","max",4,"Wet_BFL_Dur",38,26,12,"Wet, 1993"
"314SYL","mean",4,"Wet_BFL_Dur",NA,NA,3,NA
"314SYL","min",4,"Wet_BFL_Mag_10",0,0,0,"Wet, 1993"
"314SYL","median",4,"Wet_BFL_Mag_10",NA,NA,0.01,NA
"314SYL","max",4,"Wet_BFL_Mag_10",13.46205,0.9886999998,12.47,"Wet, 1998"
"314SYL","mean",4,"Wet_BFL_Mag_10",NA,NA,3.1225,NA
"314SYL","min",4,"Wet_BFL_Mag_50",304.39225,305.3062083,-0.91,"Wet, 1995"
"314SYL","median",4,"Wet_BFL_Mag_50",NA,NA,8.045,NA
"314SYL","max",4,"Wet_BFL_Mag_50",24.6864375,0.001,24.69,"Wet, 2005"
"314SYL","mean",4,"Wet_BFL_Mag_50",NA,NA,9.9675,NA
"314SYL","min",4,"Wet_Tim",145,157,-12,"Wet, 1993"
"314SYL","median",4,"Wet_Tim",125,125,0,"Wet, 2005"
"314SYL","max",4,"Wet_Tim",139,139,0,"Wet, 1995"
"314SYL","mean",4,"Wet_Tim",NA,NA,-3,NA
"314SYL","min",2,"DS_Dur_WS",222,163,59,"Moderate, 1994"
"314SYL","median",2,"DS_Dur_WS",NA,NA,87,NA
"314SYL","max",2,"DS_Dur_WS",271,156,115,"Moderate, 1997"
"314SYL","mean",2,"DS_Dur_WS",NA,NA,87,NA
"314SYL","min",2,"DS_Mag_50",1.2581041665,0.875166667,0.38,"Moderate, 1994"
"314SYL","median",2,"DS_Mag_50",NA,NA,0.68,NA
"314SYL","max",2,"DS_Mag_50",2.461,1.480395833,0.98,"Moderate, 1997"
"314SYL","mean",2,"DS_Mag_50",NA,NA,0.68,NA
"314SYL","min",2,"DS_Mag_90",5.604083333,1.984,3.62,"Moderate, 1997"
"314SYL","median",2,"DS_Mag_90",NA,NA,7.545,NA
"314SYL","max",2,"DS_Mag_90",12.66262083,1.1887333334,11.47,"Moderate, 1994"
"314SYL","mean",2,"DS_Mag_90",NA,NA,7.545,NA
"314SYL","min",3,"Peak_Dur_10",1,1,0,"Wet, 2005"
"314SYL","median",3,"Peak_Dur_10",2,2,0,"Wet, 1998"
"314SYL","max",3,"Peak_Dur_10",4,4,0,"Wet, 1995"
"314SYL","mean",3,"Peak_Dur_10",NA,NA,0,NA
"314SYL","min",3,"Peak_Fre_10",1,1,0,"Wet, 1995"
"314SYL","median",3,"Peak_Fre_10",1,1,0,"Wet, 1998"
"314SYL","max",3,"Peak_Fre_10",1,1,0,"Wet, 2005"
"314SYL","mean",3,"Peak_Fre_10",NA,NA,0,NA
"314SYL","min",3,"Peak_Tim_10",145,145,0,"Wet, 2005"
"314SYL","median",3,"Peak_Tim_10",160,160,0,"Wet, 1995"
"314SYL","max",3,"Peak_Tim_10",182,182,0,"Wet, 1998"
"314SYL","mean",3,"Peak_Tim_10",NA,NA,0,NA
"314SYL",NA,23,"Peak_10",2791.527483,2747.6528916,43.87,NA
"314SYL","min",1,"Peak_2",72.31841667,1.609625,70.71,"NA, NA"
"314SYL","median",1,"Peak_2",NA,NA,70.71,NA
"314SYL","max",1,"Peak_2",72.31841667,1.609625,70.71,"NA, NA"
"314SYL","mean",1,"Peak_2",NA,NA,70.71,NA
"314SYL",NA,23,"Peak_5",151.01260002,59.872658332,91.14,NA
"314WE0542","min",23,"DS_Dur_WS",151,161,-10,"Wet, 1995"
"314WE0542","median",23,"DS_Dur_WS",116,124,-8,"Moderate, 1997"
