"","O","E","OoverE","Onull","Enull","OoverE.null","BC","BC.null","Type","Type","Means","Type.null","Means.null","ASCI","ASCI.null"
"105PS0193_8.29.12_1",11,9.44448666207607,1.16470067602192,10,8.67479674796748,1.15276476101218,0.136227247296682,0.135974459439849,"rv","Reference",1.39816033341103,"Reference",1.39816033341103,1.28143050471648,1.27546254721161
"105PS0195_8.7.12_1",9,7.66552154911616,1.1740884090317,7,8.67479674796748,0.806935332708529,0.175158819754994,0.244813278008299,"rc","Reference",1.44843461643906,"Reference",1.44843461643906,1.31126151273538,1.12768497457379
"105PS0211_8.20.13_1",9,8.61263128031663,1.0449768145269,9,8.67479674796748,1.03748828491097,0.167041842360989,0.154247163446795,"other","Intermediate",0.842916376171367,"Intermediate",0.842916376171367,0.943946595349133,0.940202330541168
"105PS0211_9.16.13_1",9,8.61263128031663,1.0449768145269,9,8.67479674796748,1.03748828491097,0.18210858301251,0.163446795461515,"int","Intermediate",0.927333810409964,"Intermediate",0.927333810409964,0.986155312468432,0.982411047660467
"105PS0231_8.29.13_1",11,9.69501205174728,1.13460405632168,10,8.67479674796748,1.15276476101218,0.178410317647498,0.134523291249456,"int","Intermediate",0.986186874646398,"Intermediate",0.986186874646398,1.06039546548404,1.06947581782929
"105PS0259_9.17.13_1",10,9.19576086555786,1.08745759553778,9,8.67479674796748,1.03748828491097,0.159295133667824,0.147194112235511,"rc","Reference",0.912939018578651,"Reference",0.912939018578651,1.00019830705822,0.97521365174481
"105PS0267_7.21.14_1",11,9.28035415274252,1.18529959298475,10,8.67479674796748,1.15276476101218,0.148770758774472,0.144681468582209,"rc","Reference",0.99415170308937,"Reference",0.99415170308937,1.08972564803706,1.07345823205078
"105PS0276_9.1.09_1",14,15.4280289082856,0.907439316015366,9,8.67479674796748,1.03748828491097,0.250001921692714,0.176632934682613,"other","Intermediate",0.779643564773217,"Intermediate",0.779643564773217,0.843541440394291,0.908565924842093
"105PS0276_9.22.09_1",11,15.4280289082856,0.712988034012073,7,8.67479674796748,0.806935332708529,0.352290122454542,0.294605809128631,"int","Intermediate",1.17916824611684,"Intermediate",1.17916824611684,0.946078140064456,0.993051789412684
"105PS0468_9.1.09_1",10,12.4462446508433,0.803455201189736,7,8.67479674796748,0.806935332708529,0.248907044939569,0.246196403872752,"rc","Reference",1.18109571230132,"Reference",1.18109571230132,0.992275456745528,0.994015522504925
"105PS0540_8.5.10_1",11,10.375926596059,1.06014628169961,11,8.67479674796748,1.2680412371134,0.143685601282926,0.118181818181818,"other","Intermediate",1.02002102678507,"Intermediate",1.02002102678507,1.04008365424234,1.14403113194924
"105PS0540_9.15.10_1",12,10.375926596059,1.15652321639957,9,8.67479674796748,1.03748828491097,0.122117280034051,0.148727384237964,"rv","Reference",0.982894558932839,"Reference",0.982894558932839,1.0697088876662,1.0101914219219
"105PS0660_8.3.10_1",15,16.492542018577,0.909502002972263,10,8.67479674796748,1.15276476101218,0.261112304008686,0.166739225076186,"rc","Reference",1.09140545167501,"Reference",1.09140545167501,1.00045372732364,1.1220851063436
"105PS0660_8.3.10_2",11,13.8686877117222,0.793153629863805,10,8.67479674796748,1.15276476101218,0.238407698006769,0.147003337686838,"other","Reference",1.07480188390967,"Reference",1.07480188390967,0.933977756886738,1.11378332246093
"105PS1404_8.28.13_1",11,8.65608442634894,1.27078242981506,10,8.67479674796748,1.15276476101218,0.119246311870183,0.135974459439849,"int","Intermediate",0.929024886394135,"Intermediate",0.929024886394135,1.0999036581046,1.04089482370316
"105PS1404_8.28.13_2",9,8.65608442634894,1.03973107893959,9,8.67479674796748,1.03748828491097,0.175863982725188,0.163446795461515,"other","Intermediate",0.97747960890752,"Intermediate",0.97747960890752,1.00860534392355,1.00748394690924
"105PS1492_8.6.14_1",8,11.3583013694904,0.70433066879955,8,8.67479674796748,0.922211808809747,0.289645351987086,0.217292377701934,"rv","Reference",1.09967430613379,"Reference",1.09967430613379,0.90200248746667,1.01094305747177
"105TMCACC_8.10.10_1",8,9.49263297578741,0.842758802579366,8,8.67479674796748,0.922211808809747,0.231079143821066,0.208516170973509,"rc","Reference",0.893128290538735,"Reference",0.893128290538735,0.86794354655905,0.907670049674241
"105WLC135_6.26.13_1",13,10.5536522334443,1.23180105923931,11,8.67479674796748,1.2680412371134,0.10386277857504,0.118181818181818,"rc","Reference",1.06586947456914,"Reference",1.06586947456914,1.14883526690422,1.16695535584127
"105WLCABC_8.3.11_1",7,8.54832782618051,0.818873602222118,6,8.67479674796748,0.69165885660731,0.226410759915942,0.246168051708218,"rc","Reference",1.05491139370339,"Reference",1.05491139370339,0.936892497962754,0.87328512515535
"106FC1183_7.24.14_1",9,9.26914332827312,0.970963516396152,9,8.67479674796748,1.03748828491097,0.135905281997353,0.147194112235511,"str","Stressed",1.06787399035437,"Stressed",1.06787399035437,1.01941875337526,1.05268113763267
"106FC1313_7.23.14_1",10,8.31208386695057,1.20306774571425,11,8.67479674796748,1.2680412371134,0.0921749892209568,0.118181818181818,"str","Stressed",1.22267319174222,"Stressed",1.22267319174222,1.21287046872824,1.24535721442781
"106FCA036_7.15.13_1",7,8.28476872795419,0.844924008123586,8,8.67479674796748,0.922211808809747,0.192330897896026,0.200065008938729,"int","Intermediate",1.07809921886954,"Intermediate",1.07809921886954,0.961511613496563,1.00015551383964
"106FS0040_8.30.11_1",8,9.40541983713994,0.850573407516564,7,8.67479674796748,0.806935332708529,0.201410873600082,0.203665283540802,"rc","Reference",0.712298761905552,"Reference",0.712298761905552,0.781436084711058,0.75961704730704
"106HLCACC_9.23.13_1",9,8.23654879162076,1.09269066786272,9,8.67479674796748,1.03748828491097,0.10760879778019,0.157927016252683,"int","Intermediate",0.836987636844345,"Intermediate",0.836987636844345,0.964839152353532,0.937237960877657
"106MNCAHC_10.1.08_1",9,8.98700631512294,1.00144583017097,9,8.67479674796748,1.03748828491097,0.136780650278657,0.163446795461515,"rv","Reference",0.86228243003121,"Reference",0.86228243003121,0.93186413010109,0.94988535747109
"106MNCAHC_10.1.08_2",7,8.98700631512294,0.778902312355195,7,8.67479674796748,0.806935332708529,0.242170717273491,0.263485477178423,"other","Reference",0.814796377240036,"Reference",0.814796377240036,0.796849344797615,0.810865854974282
"106PS0022_9.30.08_1",8,8.35544643636021,0.957459312429624,8,8.67479674796748,0.922211808809747,0.121519604092067,0.178612059158134,"int","Intermediate",0.695983098052234,"Intermediate",0.695983098052234,0.826721205240929,0.80909745343099
"106PS0051_9.16.08_1",7,7.94268876442355,0.881313646753226,7,8.67479674796748,0.806935332708529,0.206208207429958,0.244813278008299,"int","Intermediate",0.969478593723742,"Intermediate",0.969478593723742,0.925396120238484,0.888206963216136
"106PS0051_9.16.08_2",6,7.94268876442355,0.755411697217051,7,8.67479674796748,0.806935332708529,0.249746675040952,0.25103734439834,"other","Intermediate",1.3489844223899,"Intermediate",1.3489844223899,1.05219805980348,1.07795987754921
"106PS0078_8.26.09_1",10,9.45025082534636,1.05817297178813,9,8.67479674796748,1.03748828491097,0.190466173267324,0.199938669119902,"str","Stressed",1.22224056820843,"Stressed",1.22224056820843,1.14020676999828,1.1298644265597
"106PS0106_9.8.09_1",12,8.95301350130931,1.34033082807762,10,8.67479674796748,1.15276476101218,0.145419965414535,0.135974459439849,"int","Intermediate",0.9952268299029,"Intermediate",0.9952268299029,1.16777882899026,1.07399579545754
"106PS0106_9.8.09_2",7,8.95301350130931,0.781859649711944,8,8.67479674796748,0.922211808809747,0.282138358561509,0.21826751178287,"other","Intermediate",0.900234890054843,"Intermediate",0.900234890054843,0.841047269883394,0.911223349432295
"106PS0115_9.21.10_1",10,9.37022549146968,1.06721017643638,8,8.67479674796748,0.922211808809747,0.16748793173503,0.168860718348773,"rc","Reference",0.917949615531344,"Reference",0.917949615531344,0.992579895983862,0.920080712170545
"106PS0122_9.20.10_1",9,8.68267143332861,1.03654734249799,7,8.67479674796748,0.806935332708529,0.169913625248303,0.20643153526971,"int","Intermediate",0.948769031592475,"Intermediate",0.948769031592475,0.992658187045233,0.877852182150502
"106PS0124_8.16.10_1",8,8.17048445153556,0.97913410734127,8,8.67479674796748,0.922211808809747,0.143251430473496,0.178612059158134,"rc","Reference",0.948876642130951,"Reference",0.948876642130951,0.964005374736111,0.935544225470349
"106PS0142_7.19.10_1",11,8.8769111656403,1.23916977366829,11,8.67479674796748,1.2680412371134,0.106811808769851,0.118181818181818,"int","Intermediate",1.03676934738586,"Intermediate",1.03676934738586,1.13796956052707,1.15240529224963
"106PS0166_8.2.11_1",10,9.47519297906628,1.05538747570558,9,8.67479674796748,1.03748828491097,0.176973133494888,0.157927016252683,"rc","Reference",0.950171180261694,"Reference",0.950171180261694,1.00277932798364,0.993829732586332
"106PS0173_8.4.11_1",12,9.46684502279159,1.26758175201028,11,8.67479674796748,1.2680412371134,0.118003133414292,0.118181818181818,"str","Stressed",1.41590359187924,"Stressed",1.41590359187924,1.34174267194476,1.34197241449632
"106PS0186_9.26.12_1",9,8.36711948494412,1.07563899573738,9,8.67479674796748,1.03748828491097,0.132102913502992,0.16590003066544,"str","Stressed",1.26713612351645,"Stressed",1.26713612351645,1.17138755962691,1.15231220421371
"106PS0206_10.3.12_1",10,8.85728319555594,1.12901436921622,10,8.67479674796748,1.15276476101218,0.114805264226022,0.134523291249456,"int","Intermediate",1.3960655716182,"Intermediate",1.3960655716182,1.26253997041721,1.27441516631519
"106PTCAHC_9.2.08_1",11,9.77320346812362,1.12552655184942,11,8.67479674796748,1.2680412371134,0.121537760960715,0.118181818181818,"int","Intermediate",1.02245292272349,"Intermediate",1.02245292272349,1.07398973728646,1.14524707991845
"106WE1079_8.8.12_1",10,7.89896333168992,1.2659889127325,10,8.67479674796748,1.15276476101218,0.117383148363136,0.12929908576404,"rc","Reference",0.981119255252742,"Reference",0.981119255252742,1.12355408399262,1.06694200813246
"106WER011_9.11.13_1",8,7.73435637013454,1.03434592578268,9,8.67479674796748,1.03748828491097,0.173704640174576,0.154247163446795,"rv","Reference",0.848619322869643,"Reference",0.848619322869643,0.941482624326161,0.943053803890306
"106WER016_10.20.09_1",10,9.11072617597376,1.09760734839901,10,8.67479674796748,1.15276476101218,0.105489507907853,0.134523291249456,"rc","Reference",1.05883589937779,"Reference",1.05883589937779,1.0782216238884,1.10580033019499
"106WER016_5.18.09_1",11,9.84067430221699,1.11780957911815,11,8.67479674796748,1.2680412371134,0.121744876670843,0.118181818181818,"other","Reference",1.07049782351187,"Reference",1.07049782351187,1.09415370131501,1.16926953031264
"106WER016_6.22.09_1",11,9.84067430221699,1.11780957911815,10,8.67479674796748,1.15276476101218,0.121744876670843,0.134523291249456,"other","Reference",1.03379791038156,"Reference",1.03379791038156,1.07580374474985,1.09328133569687
"106WER016_8.4.09_1",10,9.84067430221699,1.01619052647105,9,8.67479674796748,1.03748828491097,0.128459316189593,0.154247163446795,"other","Reference",1.01945832043208,"Reference",1.01945832043208,1.01782442345156,1.02847330267152
"106WER016_9.16.09_1",11,9.84067430221699,1.11780957911815,10,8.67479674796748,1.15276476101218,0.121744876670843,0.134523291249456,"other","Reference",1.14451795145139,"Reference",1.14451795145139,1.13116376528477,1.14864135623178
"107GWCAPC_9.15.10_1",6,7.78119069158307,0.771090214572201,7,8.67479674796748,0.806935332708529,0.231241097884816,0.297026279391425,"int","Intermediate",0.823280235561762,"Intermediate",0.823280235561762,0.797185225066982,0.815107784135146
"107LLM101_9.13.10_1",9,7.827461399304,1.14979806873276,10,8.67479674796748,1.15276476101218,0.140417117459731,0.134523291249456,"rc","Reference",0.941979820856881,"Reference",0.941979820856881,1.04588894479482,1.04737229093453
"107PS0021_9.3.08_1",8,7.55420937783451,1.05901221423297,8,8.67479674796748,0.922211808809747,0.114533163533684,0.168860718348773,"other","Reference",0.853019239002792,"Reference",0.853019239002792,0.956015726617881,0.88761552390627
"107RWCBHW_8.3.11_1",9,8.67631298135187,1.03730697813044,8,8.67479674796748,0.922211808809747,0.160511793890026,0.186088087111978,"int","Intermediate",1.12966097355334,"Intermediate",1.12966097355334,1.08348397584189,1.02593639118154
"107RWCBHW_8.3.11_2",8,8.67631298135187,0.922050647227056,8,8.67479674796748,0.922211808809747,0.176339622798021,0.180237282626361,"other","Intermediate",0.894535310323262,"Intermediate",0.894535310323262,0.908292978775159,0.908373559566504
"107WER092_8.27.12_1",9,7.9965135015113,1.12549050261705,9,8.67479674796748,1.03748828491097,0.126360201726707,0.147194112235511,"rc","Reference",0.884263565527681,"Reference",0.884263565527681,1.00487703407237,0.960875925219326
"109PS0162_7.20.11_1",10,8.71187190254437,1.14785893455107,10,8.67479674796748,1.15276476101218,0.135364678394247,0.144681468582209,"str","Stressed",1.18563420120816,"Stressed",1.18563420120816,1.16674656787961,1.16919948111017
"110ECSLSF_7.26.11_1",9,8.27473164264859,1.08764856537623,8,8.67479674796748,0.922211808809747,0.111569804030996,0.178612059158134,"str","Stressed",0.979038328608832,"Stressed",0.979038328608832,1.03334344699253,0.950625068709289
"110FCA102_7.25.13_1",7,7.69829510272365,0.909292240242051,7,8.67479674796748,0.806935332708529,0.158775176800984,0.242392807745505,"str","Stressed",0.867583912611398,"Stressed",0.867583912611398,0.888438076426725,0.837259622659964
"110PS0114_7.21.10_1",10,8.75170040113186,1.14263509279942,10,8.67479674796748,1.15276476101218,0.121055669172403,0.12929908576404,"int","Intermediate",0.930261122819139,"Intermediate",0.930261122819139,1.03644810780928,1.04151294191566
"110SMCATH_7.27.11_1",5,8.2235770735104,0.608007921042764,5,8.67479674796748,0.576382380506092,0.316668026103312,0.362663495838288,"int","Intermediate",0.724097516882193,"Intermediate",0.724097516882193,0.666052718962479,0.650239948694143
"111BBRBCC_9.23.09_1",8,9.5327671072199,0.839210683531855,7,8.67479674796748,0.806935332708529,0.256459274162083,0.277662517289073,"rc","Reference",1.45513950785607,"Reference",1.45513950785607,1.14717509569396,1.1310374202823
"111BGCAER_10.6.09_1",7,8.11605468329627,0.862488028131053,7,8.67479674796748,0.806935332708529,0.201554512853283,0.25207468879668,"other","Reference",0.906485994394251,"Reference",0.906485994394251,0.884487011262652,0.85671066355139
"111CBCAER_8.8.13_1",11,9.04744663503646,1.215812642365,11,8.67479674796748,1.2680412371134,0.0973966111749669,0.118181818181818,"rc","Reference",1.04203867627891,"Reference",1.04203867627891,1.12892565932195,1.15503995669616
"111CBCAER_8.8.13_2",10,9.35825906890453,1.06857481999273,10,8.67479674796748,1.15276476101218,0.0958270287327649,0.134523291249456,"other","Reference",1.01684464697902,"Reference",1.01684464697902,1.04270973348588,1.0848047039956
