BugID,ModelMatch,WatershedArea_Mi2,IaCurrent,IaRef,Imperv,Tc_Hour,Ts_Hour,Lat,Long,Notes
405CE0280,Andreas_10259000,19.75002666,2.333333333,2.333333333,0.051952617,4.434880073,2.660928044,34.2299122,-117.75247,Sites used for original CSCI curves
412WE0563,Andreas_10259000,6.960060281,2.333333333,2.333333333,0.154634537,2.632719182,1.579631509,34.34714,-118.04971,Sites used for original CSCI curves
719ADCNPS,Andreas_10259000,8.771574168,2.333333333,2.333333333,0,2.955539767,1.77332386,33.76,-116.55,Sites used for original CSCI curves
719FCA001,Andreas_10259000,8.774326452,2.333333333,2.333333333,0,2.956003415,1.773602049,33.76092,-116.54986,Sites used for original CSCI curves
719MISSCK,Andreas_10259000,36.59345176,2.333333333,2.333333333,0.075442312,6.036701837,3.622021102,34.00778,-116.62242,Sites used for original CSCI curves
719TQCNPS,Andreas_10259000,16.60948137,2.333333333,2.333333333,0.003554106,4.067017799,2.440210679,33.805,-116.5592,Sites used for original CSCI curves
719TRMDSS,Andreas_10259000,4.062095723,2.333333333,2.333333333,0.035399743,2.01128268,1.206769608,33.84037,-116.6135,Sites used for original CSCI curves
719WE0864,Andreas_10259000,8.774326452,2.333333333,2.333333333,0,2.956003415,1.773602049,33.76053,-116.5489,Sites used for original CSCI curves
722PS0535,Andreas_10259000,150.6786138,2.333333333,2.333333333,0.091411759,12.24965466,7.349792795,33.36921971,-116.4222339,Sites used for original CSCI curves
801WE0674,Andreas_10259000,1.914295663,2.333333333,2.333333333,0.144104803,1.380710237,0.828426142,34.1756773,-116.98476,Sites used for original CSCI curves
801WE0787,Andreas_10259000,1.115345382,2.333333333,2.333333333,0,1.053908055,0.632344833,34.1454097,-116.87918,Sites used for original CSCI curves
801WE1020,Andreas_10259000,9.113957581,2.333333333,2.333333333,0.013780204,3.012669832,1.807601899,34.2522378,-117.53177,Sites used for original CSCI curves
801WE1132,Andreas_10259000,4.574664973,2.333333333,2.333333333,0.027807405,2.134409199,1.28064552,34.1337834,-116.84314,Sites used for original CSCI curves
802WE0794,Andreas_10259000,2.348160333,2.333333333,2.333333333,0.0107622,1.529191625,0.917514975,33.7293168,-116.6748,Sites used for original CSCI curves
SGUT501,Andreas_10259000,83.48457752,2.333333333,2.333333333,0.081034074,9.118033091,5.470819855,34.2409231,-117.88449,Sites used for original CSCI curves
SGUT502,Andreas_10259000,78.84488851,2.333333333,2.333333333,0.082752391,8.861042282,5.316625369,34.2290389,-117.76832,Sites used for original CSCI curves
SMC00080,Andreas_10259000,2.173977131,2.333333333,2.333333333,0.005729747,1.471382284,0.882829371,34.3290935,-118.08188,Sites used for original CSCI curves
SMC00135,Andreas_10259000,4.184471422,2.333333333,2.333333333,0.020108018,2.041354076,1.224812446,34.0781823,-116.87856,Sites used for original CSCI curves
SMC00464,Andreas_10259000,102.9034453,2.333333333,2.333333333,0.106118605,10.1230876,6.07385256,34.24152,-117.86683,Sites used for original CSCI curves
SMC00480,Andreas_10259000,17.40662193,2.333333333,2.333333333,0.048032061,4.163468522,2.498081113,34.2342633,-117.73221,Sites used for original CSCI curves
SMC01248,Andreas_10259000,54.40885805,2.333333333,2.333333333,0.096172518,7.360932625,4.416559575,34.2589568,-117.74499,Sites used for original CSCI curves
SMC01424,Andreas_10259000,88.37177528,2.333333333,2.333333333,0.092459143,9.381122929,5.628673757,34.2401184,-117.81617,Sites used for original CSCI curves
SMC01504,Andreas_10259000,6.602545398,2.333333333,2.333333333,0,2.56421086,1.538526516,34.253273,-117.71385,Sites used for original CSCI curves
SMC01808,Andreas_10259000,28.22493159,2.333333333,2.333333333,0.149956322,5.301691905,3.181015143,34.3094037,-118.07316,Sites used for original CSCI curves
SMC02712,Andreas_10259000,15.81238383,2.333333333,2.333333333,0.126895854,3.968228859,2.380937315,34.3617882,-118.30349,Sites used for original CSCI curves
SMC02976,Andreas_10259000,55.12314043,2.333333333,2.333333333,0.094925256,7.409092436,4.445455462,34.2578936,-117.75662,Sites used for original CSCI curves
SMC03452,Andreas_10259000,0.9573177,2.333333333,2.333333333,0.011264535,0.976396202,0.585837721,34.3035424,-117.83231,Sites used for original CSCI curves
SMC04432,Andreas_10259000,3.845283386,2.333333333,2.333333333,0.006058962,1.956871071,1.174122642,34.410891,-118.14882,Sites used for original CSCI curves
SMC04880,Andreas_10259000,34.58971379,2.333333333,2.333333333,0.134457072,5.869100164,3.521460099,34.3088434,-118.09828,Sites used for original CSCI curves
SMC29064,Andreas_10259000,5.499154914,2.333333333,2.333333333,0.110788644,2.340162492,1.404097495,33.7956097,-116.74266,Sites used for original CSCI curves
SMCR8_020,Andreas_10259000,1.970243213,2.333333333,2.333333333,0.008779631,1.400741376,0.840444825,33.7681896,-116.68866,Sites used for original CSCI curves
SMCR8_022,Andreas_10259000,0.57539435,2.333333333,2.333333333,0.032946919,0.756973775,0.454184265,34.1588233,-116.87218,Sites used for original CSCI curves
SMCR8_025,Andreas_10259000,3.467087001,2.333333333,2.333333333,0.091945973,1.858148448,1.114889069,34.1746085,-116.98425,Sites used for original CSCI curves
SMCR8_034,Andreas_10259000,19.73501949,2.333333333,2.333333333,0.058727254,4.433194819,2.659916891,34.0893403,-116.92946,Sites used for original CSCI curves
SMCR8_035,Andreas_10259000,4.146079735,2.333333333,2.333333333,0.020290098,2.03196799,1.219180794,34.0777123,-116.87662,Sites used for original CSCI curves
SMCR8_050,Andreas_10259000,7.882829869,2.333333333,2.333333333,0.005376344,2.801812793,1.681087676,34.1562708,-116.79315,Sites used for original CSCI curves
SMCR8_057,Andreas_10259000,7.387046193,2.333333333,2.333333333,0,2.712273274,1.627363964,34.2507323,-117.54851,Sites used for original CSCI curves
SMCR8_068,Andreas_10259000,0.662125239,2.333333333,2.333333333,0.028675704,0.812022585,0.487213551,34.2716671,-117.6471,Sites used for original CSCI curves
SMCR8_069,Andreas_10259000,10.67126007,2.333333333,2.333333333,0.051414971,3.259912095,1.955947257,34.2464769,-117.51314,Sites used for original CSCI curves
SMCR8_074,Andreas_10259000,0.320793602,2.333333333,2.333333333,0,0.565211365,0.339126819,34.0880794,-116.88392,Sites used for original CSCI curves
SMCR8_080,Andreas_10259000,1.411277178,2.333333333,2.333333333,0,1.185507201,0.711304321,34.1505559,-116.88427,Sites used for original CSCI curves
SMCR8_106,Andreas_10259000,1.507171229,2.333333333,2.333333333,0,1.225121989,0.735073193,34.1548786,-116.88491,Sites used for original CSCI curves
SMCR8_126,Andreas_10259000,3.907300996,2.333333333,2.333333333,0.101911961,1.972588383,1.18355303,34.1746397,-116.89561,Sites used for original CSCI curves
SMCR8_147,Andreas_10259000,10.21895964,2.333333333,2.333333333,0.20184701,3.190078566,1.91404714,33.793984,-116.74716,Sites used for original CSCI curves
SMCR8_155,Andreas_10259000,1.138726901,2.333333333,2.333333333,0.035561006,1.064897549,0.638938529,33.8111365,-116.7744,Sites used for original CSCI curves
SMCR8_163,Andreas_10259000,10.21895964,2.333333333,2.333333333,0.20184701,3.190078566,1.91404714,33.7940407,-116.74721,Sites used for original CSCI curves
SMCR8_168,Andreas_10259000,44.95917144,2.333333333,2.333333333,0.137302176,6.691248925,4.014749355,34.1793748,-116.8483,Sites used for original CSCI curves
SMCR8_172,Andreas_10259000,16.73829325,2.333333333,2.333333333,0.111069605,4.082757857,2.449654714,33.7841907,-116.83941,Sites used for original CSCI curves
SMCR8_203,Andreas_10259000,66.9172351,2.333333333,2.333333333,0.140940364,8.163323953,4.897994372,34.1860784,-116.92001,Sites used for original CSCI curves
SMCR8_219,Andreas_10259000,6.826725779,2.333333333,2.333333333,0.219637324,2.607379618,1.564427771,34.113007,-116.98732,Sites used for original CSCI curves
SMCR8_272,Andreas_10259000,16.26949989,2.333333333,2.333333333,0.049535802,4.025178449,2.41510707,34.0875772,-116.91358,Sites used for original CSCI curves
SMCR8_297,Andreas_10259000,2.723018283,2.333333333,2.333333333,0.157491378,1.646733482,0.988040089,33.8102048,-116.81248,Sites used for original CSCI curves
SMCR8_334,Andreas_10259000,50.06386376,2.333333333,2.333333333,0.129109057,7.060902573,4.236541544,34.1830079,-116.8785,Sites used for original CSCI curves
SMCR8_375,Andreas_10259000,4.2902196,2.333333333,2.333333333,0.038461538,2.066987254,1.240192352,33.7569394,-116.70207,Sites used for original CSCI curves
SMCR8_474,Andreas_10259000,3.703251764,2.333333333,2.333333333,0,1.920390975,1.152234585,34.2476693,-117.62449,Sites used for original CSCI curves
SMCR8_496,Andreas_10259000,8.854578292,2.333333333,2.333333333,0.050765607,2.969490761,1.781694456,33.6932094,-116.68052,Sites used for original CSCI curves
