"","O","E","OoverE","Onull","Enull","OoverE.null","BC","BC.null","Type","Type","Means","Type.null","Means.null","ASCI","ASCI.null"
"000CAT148_8.10.10_1",1,3.33164096478538,0.300152390539603,1,4.94334975369458,0.202291978076731,0.553299990996164,0.679237463738085,"other","Reference",1.09759400604233,"Reference",1.09759400604233,0.698873198290967,0.64994299205953
"000CAT228_8.10.10_1",1,3.75090043248302,0.266602651283394,1,4.94334975369458,0.202291978076731,0.591809979500245,0.679237463738085,"other","Reference",1.09759400604233,"Reference",1.09759400604233,0.682098328662862,0.64994299205953
"102PS0139_8.9.10_1",3,3.89116916626536,0.770976503928078,3,4.94334975369458,0.606875934230194,0.345526164601509,0.511317829457364,"int","Intermediate",0.965932598441495,"Intermediate",0.965932598441495,0.868454551184787,0.786404266335845
"102PS0177_8.28.12_1",3,3.26336173389946,0.919297413105116,5,4.94334975369458,1.01145989038366,0.309750569673593,0.403022046073817,"rc","Reference",0.99509916617848,"Reference",0.99509916617848,0.957198289641798,1.00327952828107
"102PS0177_8.28.12_2",4,4.68336317721107,0.854087084141527,4,4.94334975369458,0.809167912306926,0.346885972012268,0.435968052877995,"other","Reference",0.790535597164771,"Reference",0.790535597164771,0.822311340653149,0.799851754735848
"103CDCHHR_9.14.10_1",2,3.18890571660793,0.627174390758539,2,4.94334975369458,0.404583956153463,0.392567527409753,0.520397304008514,"rc","Reference",0.987225467676138,"Reference",0.987225467676138,0.807199929217338,0.695904711914801
"103CDCHHR_9.14.10_2",2,1.48044501603564,1.35094514037113,2,4.94334975369458,0.404583956153463,0.149278319746639,0.520397304008514,"other","Reference",0.987225467676138,"Reference",0.987225467676138,1.16908530402363,0.695904711914801
"103FC1106_7.15.14_1",5,4.87926388359644,1.02474474004357,4,4.94334975369458,0.809167912306926,0.322912327915207,0.45028917653539,"other",NA,1.02890703700332,NA,1.02890703700332,1.02682588852345,0.919037474655123
"103FCA168_7.24.13_1",4,3.8419030154147,1.04115069639993,4,4.94334975369458,0.809167912306926,0.307096865966131,0.45028917653539,"int","Intermediate",1.01501745698728,"Intermediate",1.01501745698728,1.02808407669361,0.912092684647103
"103KLCMSR_9.14.10_1",2,2.12475556738191,0.941284743856147,3,4.94334975369458,0.606875934230194,0.276524909280483,0.505116279069768,"rc","Reference",1.09069762495301,"Reference",1.09069762495301,1.01599118440458,0.848786779591602
"103PS0217_9.10.13_1",3,3.08263644737772,0.973192931184598,3,4.94334975369458,0.606875934230194,0.322723648224807,0.487131782945736,"int","Intermediate",0.836685996872719,"Intermediate",0.836685996872719,0.904939464028659,0.721780965551457
