"","Bug_StationCode","SampleID","SampleDate","MostRecentSample","CSCI","CSCI_Percentile","OoverE","OoverE_Percentile","MMI","MMI_Percentile","DS_Dur_WS","DS_Mag_50","DS_Mag_90","DS_Tim","FA_Dur","FA_Mag","FA_Tim","Peak_2","Peak_Dur_10","Peak_Dur_2","Peak_Dur_5","Peak_Fre_10","Peak_Fre_2","Peak_Fre_5","Peak_Tim_10","Peak_Tim_2","Peak_Tim_5","SP_Dur","SP_Mag","SP_ROC","SP_Tim","Wet_BFL_Dur","Wet_BFL_Mag_10","Wet_BFL_Mag_50","Wet_Tim"
"1","314SYL","314SYL373501BMI_CSBP_Trans","4/4/02",2,0.864352091,0.2,0.982549471,0.46,0.746154711,0.08,87,0.68,7.545,-33,NA,NA,NA,70.71,0,-234,-82,0,1,0.25,0,80.45,1.25,30.25,21.97,-0.01,109.75,3,3.1225,9.9675,-3
"2","315GAVGSP","315GAVGSP370341BMI_CSBP_Trans","5/23/01",1,0.629634589,0.01,0.644804424,0.03,0.614464754,0.02,NA,NA,NA,0,NA,NA,NA,0,0,0,-354.2,0,0,2.6,0,0,150.2,0,0.305652173913043,0,14.8260869565217,1,0,1.47,-1
"3","315MIU","315MIU395661BMI_RWB","4/28/08",3,1.013557289,0.53,1.118516457,0.73,0.908598121,0.3,-0.333333333333333,-0.00333333333333333,-0.00666666666666667,-2.375,NA,NA,NA,0.05,0,-17.6,-1,0,0,0,0,-0.05,0,-0.75,1.28125,0,15.25,0.75,0.035,-0.0075,-0.25
"4","403SPCNWS","403SPCNWS417511BMI_RWB","4/22/14",1,1.113268983,0.76,1.273107613,0.92,0.953430352,0.4,0.0666666666666667,0.008,0.006,-0.0909090909090909,0.333333333333333,2.34,0,3.35,0,0,0,0,0,0,0,0,0,-0.0526315789473684,0.756521739130435,0,0,0,0.021875,0.033125,0
"5","403STC009","403STC009376571BMI_CSBP_Trans","2/5/03",2,1.008875305,0.52,0.954074895,0.4,1.063675716,0.64,-4.76470588235294,0.292941176470588,0.642941176470588,6.77272727272727,0.333333333333333,-16.6533333333333,-20.3333333333333,23,0,0,0,0,0,0,0,0,0,0,1.58909090909091,0,2.54545454545455,0.277777777777778,0.695,-0.681666666666667,-0.277777777777778
"6","403STC070","403STC070376571BMI_CSBP_Trans","2/5/03",1,1.134349748,0.8,1.272685694,0.92,0.996013803,0.49,0,0.004375,-0.015625,-0.227272727272727,0.333333333333333,2.43,0,0.67,0,0,0,0,0,0,0,0,0,0,0.979130434782609,0,0,0,0.0282352941176471,0.111764705882353,0
"7","408CAL012","408CAL012371941BMI_CSBP_Trans","10/30/01",1,0.636061973,0.01,0.706332608,0.06,0.565791339,0.01,46.6666666666667,-0.055,0.06,-37.4666666666667,NA,NA,NA,121.73,-0.5,-113.181818181818,-0.2,0,1.72727272727273,0,0,42.2272727272727,0,40.3333333333333,73.97,-0.0477777777777778,79.6,33.5555555555556,-0.247777777777778,-4.22888888888889,-19.7777777777778
"8","722ABSPPC","722ABSPPC417501BMI_RWB","4/21/14",2,0.934342033,0.34,1.183426534,0.83,0.685257532,0.04,NA,NA,NA,-0.2,NA,NA,NA,0.19,-0.333333333333333,-123,0,0,0.363636363636364,0,0,33.0909090909091,0,0,0.01,0,0,0.333333333333333,0.00333333333333333,0,-0.333333333333333
"9","802SJR116","802SJR116414631BMI_RWB","7/8/13",2,0.311941332,0,0.37853781,0,0.245344854,0,125.75,2.0675,5.1675,-78,NA,NA,NA,370.64,0,-261.111111111111,-0.2,0,2.33333333333333,0.2,0,77.9444444444444,-3.3,-14,503.606363636364,0,60.8636363636364,4.6,-0.682,27.756,-4.8
"10","901ATCDOS","901ATCDOS417581BMI_RWB","4/29/14",1,0.638971908,0.01,0.856065144,0.22,0.421878671,0,-23.5,0.21,3.025,-0.5,NA,NA,NA,217.9,-20,-190.555555555556,-23.3333333333333,1,2.33333333333333,-0.333333333333333,-37.5,30.8888888888889,-47,-54.5,50.385,0,54,74.25,1.12,-1.51375,-20.25
"11","901DCCSMC","901DCCSMC406791BMI_RWB","5/16/11",1,1.135279907,0.8,1.168165087,0.81,1.102394728,0.72,5,0.05,0.21,-10.5,NA,NA,NA,2.61,0,-99.7777777777778,0,0,0,0,0,15.1111111111111,0,0.666666666666667,5.47888888888889,-0.00333333333333333,14.2222222222222,-0.333333333333333,0.69,0.976666666666667,0
"12","909SSWR03","909SSWR03399231BMI_RWB","4/20/09",5,0.888283956,0.24,0.777623756,0.12,0.998944156,0.5,-1,-0.00333333333333333,-0.00666666666666667,0,NA,NA,NA,0,-0.333333333333333,0,0.4,0,0,0,0,0,-0.4,0,0.0125,0,0,1,0,-0.685,-1
"13","LALT501","LALT501410811NR","6/21/12",1,0.583713304,0,0.542260268,0.01,0.625166341,0.02,-54.6153846153846,7.52153846153846,23.72,26.6666666666667,-0.333333333333333,1050.99666666667,-30.3333333333333,2879.42,-1,-42,-18.3333333333333,0,1.75,-0.333333333333333,-1,6.125,-7.83333333333333,-45.7857142857143,-91.67,0.000714285714285714,80.8333333333333,58.7857142857143,6.82214285714286,-82.3107142857143,-19.1428571428571
"14","SGLT506","SGLT506410781NR","6/18/12",1,0.586312859,0,0.613777159,0.02,0.558848559,0.01,12.4615384615385,-10.66,-11.8646153846154,-39.6666666666667,1.66666666666667,-21.55,-30.3333333333333,942.84,-2,-2,0.25,-1,0,0,-11,-3.8,0,-14.1428571428571,-439.115263157895,-0.0342857142857143,61.4210526315789,32,-6.12,129.615,-12.6428571428571
"15","SGUR010","SGUR010407211NR","6/27/11",2,0.983273925,0.46,1.120381158,0.74,0.846166691,0.2,1.09090909090909,0.00545454545454545,-0.0472727272727273,0.833333333333333,0,6.75,0,-0.18,0,0,0,0,0,0,0,0,0,-0.0909090909090909,2.93,0.000909090909090909,1.83333333333333,-0.818181818181818,0.326363636363636,2.09454545454545,0.75
"16","SGUR103","SGUR103411081NR","7/18/12",3,1.086108165,0.7,1.156517482,0.79,1.015698847,0.53,-2,0,0.044,4.41666666666667,1,-0.13,0,-0.03,0,0,0.25,0,0,0.25,0,0,-4.125,4.58333333333333,0.0683333333333333,0,-0.166666666666667,0.727272727272727,0.00454545454545455,-4.95,-0.818181818181818
"17","SGUT501","SGUT501410791NR","6/19/12",1,1.26732273,0.95,1.389128234,0.98,1.145517226,0.79,4.04761904761905,0.00761904761904762,0.03,-3.52173913043478,NA,NA,NA,0,0,0.75,0,0,0.416666666666667,0,0,-10,0,-3.65217391304348,0.536086956521739,0.000434782608695652,0.130434782608696,0.142857142857143,-0.000476190476190476,0.0361904761904762,0
"18","SGUT502","SGUT502410781NR","6/18/12",3,0.988249271,0.47,1.116139719,0.73,0.860358823,0.22,0.111111111111111,-0.00555555555555556,-0.00555555555555556,0,NA,NA,NA,0.58,0,-9.77777777777778,0,0,0.111111111111111,0,0,1.94444444444444,0,0,0.491666666666667,0,8.88888888888889,0,0.00571428571428572,0.0414285714285714,0.0833333333333333
"19","SGUT503","SGUT503410731NR","6/13/12",3,1.011042826,0.53,1.178230504,0.83,0.843855149,0.19,-0.5,-0.005,-0.005,0,NA,NA,NA,0,0.5,0.3,0.25,0,0,0.25,-0.5,-0.25,-10.875,0.2,-0.018,0,0,0.6,-0.076,0.152,-0.6
"20","SGUT504","SGUT504410791NR","6/19/12",1,0.989711373,0.47,1.109322382,0.72,0.870100364,0.23,-5.91304347826087,0.156521739130435,-0.0734782608695652,3.43478260869565,2.5,0.3,-2.5,0.35,-6,-5.3,-7.66666666666667,-0.5,0.3,0.333333333333333,-5.75,0.75,-1.16666666666667,-0.826086956521739,0.0617391304347826,0,4.26086956521739,6.73913043478261,-0.00956521739130435,0.121304347826087,-2.47826086956522
"21","SGUT505","SGUT505410781NR","6/18/12",1,0.877810932,0.22,1.045087959,0.59,0.710533905,0.05,0,-0.0466666666666667,-0.06,0,NA,NA,NA,-0.06,0,0,-0.75,0,0,0,0,0,0,0,0.0138888888888889,0,0,0,1.16,1.354,0
"22","SMC00080","SMC00080_41066_BMI_RWB_1","6/6/12",3,0.803837262,0.11,0.847270181,0.21,0.760404342,0.09,4.69565217391304,0.00347826086956522,0.0539130434782609,-4.95652173913043,NA,NA,NA,0,0,1.33333333333333,-16.2,0,0,0.4,0,0,7.3,-5.95652173913043,0.00521739130434783,-0.000869565217391304,1,1.26086956521739,0,0,-0.260869565217391
"23","SMC00105","SMC00105_39945_BMI_RWB_1","5/12/09",1,0.972364495,0.43,1.137145755,0.76,0.807583235,0.14,NA,NA,NA,-3,NA,NA,NA,0,0,0,-32.3333333333333,0,0,1.66666666666667,0,0,-5.83333333333333,-3,0.0633333333333333,0,0,-3.66666666666667,0,0.0633333333333333,3.66666666666667
"24","SMC00135","SMC00135_40336_BMI_RWB_1","6/7/10",1,0.865721111,0.2,1.017497643,0.54,0.713944579,0.06,2.56521739130435,0.00173913043478261,-0.0256521739130435,-3.30434782608696,NA,NA,NA,0,0,0.416666666666667,0,0,0,0,0,0,0,-3.8695652173913,0.00695652173913044,0.000434782608695652,0.565217391304348,1.30434782608696,-0.0247826086956522,-0.0143478260869565,-0.739130434782609
"25","SMC00198","SMC00198_39953_BMI_RWB_1","5/20/09",1,0.723663686,0.04,0.912419114,0.32,0.534908259,0,41,-1.2,-1.37333333333333,-57.2,1,21.8,-9,160.43,-1.33333333333333,-270.2,-8.75,0.333333333333333,1.9,0.25,-8,111.25,-9.375,-1,82.301,0.00333333333333333,95.4,48.1666666666667,-1.14666666666667,-1.20666666666667,-27.5
"26","SMC00271","SMC00271_39968_BMI_RWB_1","6/4/09",1,0.951285257,0.38,1.023822198,0.55,0.878748317,0.25,0.0833333333333333,0,0,-0.333333333333333,1,0,0,0.01,0,0,0,0,0,0,0,0,0,-0.0714285714285714,0.0114285714285714,0,0,-0.0714285714285714,0.0271428571428571,0.00142857142857143,0.0714285714285714
"27","SMC00282","SMC00282_39973_BMI_RWB_1","6/9/09",1,0.981521189,0.45,1.158815862,0.8,0.804226516,0.14,-0.5,0,-0.005,0,NA,NA,NA,0.38,-0.5,-27,0,0,0.142857142857143,0,0,3.35714285714286,0,0,0.00428571428571428,0,0,0.75,0,-0.275,-0.75
"28","SMC00288","SMC00288_39982_BMI_RWB_1","6/18/09",1,0.673631567,0.02,0.83622953,0.19,0.511033603,0,-23.75,0,-0.025,5.55555555555556,NA,NA,NA,3.28,0,-36.5,-6.66666666666667,0,1.5,-0.333333333333333,0,-4.55,-20.6666666666667,-31.7777777777778,0.841111111111111,0,37.3333333333333,51,-0.07,-0.03875,-16.875
"29","SMC00318","SMC00318_40344_BMI_RWB_1","6/15/10",1,0.382262467,0,0.513006828,0.01,0.251518107,0,17.5,-13.221,-21.929,-66.8636363636364,NA,NA,NA,4837.7,-0.333333333333333,-73.7,-0.2,0,0.7,0,0,4,0,33.6363636363636,1499.23130434783,-0.0327272727272727,77.0434782608696,42.3636363636364,-8.45,-71.2063636363636,-26
"30","SMC00382","SMC00382_39987_BMI_RWB_1","6/23/09",1,0.362996662,0,0.383239623,0,0.342753702,0,3,0,0.01,-22.9166666666667,NA,NA,NA,8.96,-91,-39.5555555555556,-44,7,1.77777777777778,1.66666666666667,47,12.1111111111111,-0.833333333333333,-61.5833333333333,2.5075,0.00166666666666667,38.6666666666667,57.6666666666667,0.338888888888889,0.171111111111111,-17.5555555555556
"31","SMC00428","SMC00428_41465_BMI_RWB_1","7/10/13",4,0.92157076,0.31,0.757236396,0.1,1.085905124,0.68,-0.947368421052632,-0.00157894736842105,0.0394736842105263,2.05263157894737,-4,-0.97,-44,0.92,0,-115.3,-109.75,0,0.3,0.5,0,45.6,60.5,-8.94736842105263,0.61421052631579,-0.068421052631579,11,10.0526315789474,0.0410526315789474,0.653684210526316,0.947368421052632
"32","SMC00436","SMC00436_39959_BMI_RWB_1","5/26/09",1,0.595858368,0.01,0.723073189,0.07,0.468643546,0,6.8,-11.494,-13.043,-47.3333333333333,0.666666666666667,1102.86666666667,-28.6666666666667,2257.62,-0.333333333333333,-74.6363636363636,-0.25,0,1.09090909090909,0,0,13.0454545454545,0,45.6363636363636,1068.44210526316,-0.03,78,25.1818181818182,-6.54272727272727,-10.74,-18.9090909090909
"33","SMC00464","SMC00464_39941_BMI_RWB_1","5/8/09",1,0.916498553,0.3,0.868997721,0.25,0.963999384,0.42,4.57142857142857,0.00285714285714286,0.0495238095238095,-4.54545454545455,NA,NA,NA,-0.01,0,1,0,0,0.25,0,0,-7.25,0,-8.2,0.723913043478261,0.0025,2.78260869565217,3.35,-0.004,0.0265,-0.181818181818182
"34","SMC00476","SMC00476_39972_BMI_RWB_1","6/8/09",1,1.148016241,0.82,1.269379807,0.92,1.026652675,0.56,18.5789473684211,-0.0321052631578947,0.6,0.157894736842105,NA,NA,NA,0,0,1,1.25,0,0,0,0,0,0,-0.842105263157895,0,-0.000526315789473685,1,-16.7894736842105,0.607894736842105,0.193684210526316,17.7894736842105
