"","stationcode","sampleid","sampledate","oovere","mmi","csci","latitude","longitude","DS_Dur_WS","DS_Mag_50","DS_Mag_90","DS_Tim","FA_Dur","FA_Mag","FA_Tim","Peak_2","Peak_Dur_10","Peak_Dur_2","Peak_Dur_5","Peak_Fre_10","Peak_Fre_2","Peak_Fre_5","Peak_Tim_10","Peak_Tim_2","Peak_Tim_5","SP_Dur","SP_Mag","SP_ROC","SP_Tim","Wet_BFL_Dur","Wet_BFL_Mag_10","Wet_BFL_Mag_50","Wet_Tim"
"1","312PS0099","312PS0099_06142010_BMI_RWB_1","6/14/10",1.11687099,1.07707254,1.09697177,34.77948,-119.95802,1,0,0.03,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0.05,0.19,0
"2","312WE1028","312WE1028_05292002_BMI_RWB_1","5/29/02",1.29627794,0.73128893,1.01378344,34.74721,-119.71562,1,0,0.01,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0.03,0.01,0,0,0.04,0.03,0
"3","312WE1035","312WE1035_05302002_BMI_RWB_1","5/30/02",0.98393678,1.15763895,1.07078787,34.73287,-119.67637,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.02,0.01,5
"4","314SYL","314SYL_04042002_BMI_CSBP_Trans_1","4/4/02",1.00210875,0.75676227,0.87943551,34.64387,-120.43045,115,0.98,11.47,123,NA,NA,NA,70.71,0,2,-2,0,2,1,0,172,5,123,82.56,0.04,237,12,12.47,24.69,0
"5","314WE0542","314WE0542_07112000_BMI_CSBP_Trans_1","7/11/00",0.94113407,0.81614835,0.87864121,34.55085,-120.3583,4,0.01,0.19,5,0,0.23,0,0,-62,4,-37,2,0,6,37,0,37,34,0.61,0,0,8,0.01,1.5,0
"6","314WE0677","314WE0677_07232008_BMI_RWB_1","7/23/08",0.88825769,1.01024097,0.94924933,34.7477,-120.05303,1,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,4,0.01,0.01,0
"7","314WE0779","314WE0779_07112001_BMI_CSBP_Trans_1","7/11/01",1.18379215,1.03092614,1.10735915,34.66959,-119.75404,2,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48,2
"8","314WE0796","314WE0796_07102001_BMI_CSBP_Trans_1","7/10/01",1.17617629,1.02755675,1.10186652,34.68351,-119.79875,35,0.6,0.9,40,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,40,0,0.06,0,7,0.9,0.04,27
"9","314WE1046","314WE1046_06122002_BMI_RWB_1","6/12/02",1.06892131,1.16384957,1.11638544,34.5365,-119.83603,1,0,0.01,0,NA,NA,NA,0.04,0,2,0,0,2,0,0,142,0,0,0.28,0,0,0,0.07,0,0
"10","315CE0584","315CE0584_06072006_BMI_RWB_1","6/7/06",1.31696774,0.92584944,1.12140859,34.47666,-120.33833,1,0.01,0,1,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,7,0.07,0.01,0,13,0,0.01,1
