"","StationID","sample_id","asci_d","asci_h","asci_s","sampledate","DS_Dur_WS","DS_Mag_50","DS_Mag_90","DS_Tim","FA_Dur","FA_Mag","FA_Tim","Peak_2","Peak_Dur_10","Peak_Dur_2","Peak_Dur_5","Peak_Fre_10","Peak_Fre_2","Peak_Fre_5","Peak_Tim_10","Peak_Tim_2","Peak_Tim_5","SP_Dur","SP_Mag","SP_ROC","SP_Tim","Wet_BFL_Dur","Wet_BFL_Mag_10","Wet_BFL_Mag_50","Wet_Tim"
"1","312PS0099","312PS0099_6.14.10_2",0.975166582399909,1.08103711040174,1.06439152308932,2010-06-14,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","402BA0079","402BA0079_5.28.08_1",0.689047363957553,0.770523763726926,0.801713907632546,2008-05-28,-9,-1.66,-0.03,-5,NA,NA,NA,31.83,0,-56,0,0,-1,0,0,-18,0,-6,13.625,0,0,0,-0.03,-0.085,-6
"3","402BA0095","402BA0095_5.29.08_1",1.06169551795049,1.11374163945743,1.17316012063314,2008-05-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0
"4","402BA0143","402BA0143_5.21.08_1",0.734552966539611,0.879819819302056,0.824899064004521,2008-05-21,0.5,-0.055,-0.05,-36,0,-207.79,-42,50.54,0,0,0,0,0,0,0,0,0,-3,32.035,0,0,0,-0.62,-3.93,0
"5","402BA0335","402BA0335_5.27.08_2",0.724642190199785,0.75774485796455,0.595036896530689,2008-05-27,-0.5,0.595,0.575,-5,-5,88.51,0,17.72,0,0,0,0,0,0,0,0,0,-4,-112.47,0,0,0,0.045,0.15,-3
"6","403BA0015","403BA0015_5.19.08_1",0.889281969986212,0.942866663418687,1.10928503919922,2008-05-19,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","403BA0027","403BA0027_6.18.14_1",1.05275417013702,1.04187943123373,0.971780849949224,2014-06-18,0,0,0,-2,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","403BA0171","403BA0171_5.19.08_1",1.0427573436503,1.14476190432632,0.95845798682817,2008-05-19,0,-0.01,-0.03,-4,2,0.12,0,-0.02,0,0,0,0,0,0,0,0,0,0,-0.51,0,0,0,0.02,-0.02,0
"9","403BA0960","403BA0960_5.21.08_1",1.13143288782835,1.16976761756293,0.934147848852953,2008-05-21,1,0,0.68,0,NA,NA,NA,0.02,0,-175,0,0,0,0,0,0,0,-72,0,0,0,-9,0.89,0.78,26
"10","403S00640","403S00640_6.11.09_2",0.916894461776379,0.94012711921481,0.980360957724127,2009-06-11,-2,-0.03,0,-1,-1,1.89,-8,2.02,-1,-4.5,-3,0,0,0,0,-1,0,-2,-0.04,0,0,0.5,-0.04,0.075,-1
"11","403S00831","403S00831_6.10.10_1",0.985596064340379,1.11602624976895,1.15978585500105,2010-06-10,0,0,0,-9,NA,NA,NA,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","403S00875","403S00875_6.24.10_1",0.972699408741517,1.06023694735084,1.16940389702602,2010-06-24,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","403S01195","403S01195_6.10.09_1",0.927174371171342,1.1119699335972,1.25795588617164,2009-06-10,0,-0.05,-0.06,0,-5,4.06,0,0.98,0,0,0,0,0,0,0,0,0,0,-0.01,0,0,0,-0.03,-0.41,0
"14","403S01536","403S01536_7.12.11_2",1.10011473317038,1.08405446290204,1.12828609105718,2011-07-12,-6,0.01,0.01,-2,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,27,0,-0.03,-29,-29,-1.09,1.5,0
"15","403S01707","403S01707_6.7.10_1",0.883711597101036,0.939851476462991,0.98301834704145,2010-06-07,0,0,0,0,NA,NA,NA,0.57,0,0,0,0,0,0,0,0,0,0,-0.015,0,0,0,0,-0.05,0
"16","403S01728","403S01728_7.13.11_1",0.848948027713861,0.897137544387794,0.731450733312412,2011-07-13,-7,0.01,0.01,-42,NA,NA,NA,1.7,-119,-120,-119,0,0.5,0,9,40,39,-43,1.06,0.05,0,39,0,0.2,-4
"17","403S02363","403S02363_6.16.11_1",1.19412907041368,1.25480758702024,1.2490751369698,2011-06-16,0,-0.01,-0.04,0,0,5.65,0,4.04,0,0,0,0,0,0,0,0,0,0,-0.01,0,0,0,-0.03,-0.14,0
"18","403S03643","403S03643_6.24.10_2",1.10461783146594,1.02427979582436,0.878297626174079,2010-06-24,0,-0.03,-0.03,0,0,5.685,0,3.99,0,0,0,0,0,0,0,0,0,0,-0.01,0,0,0,-0.03,-0.14,0
"19","403S05291","403S05291_6.7.10_1",0.926366890047376,1.03355847273699,0.896657275838423,2010-06-07,0,-0.03,-0.03,0,-5,3.68,0,2.69,0,0,0,0,0,0,0,0,0,0,-0.01,0,0,0,-0.01,-0.03,0
"20","403S06139","403S06139_6.27.12_1",1.2705217220765,1.2170580645285,1.03583322701221,2012-06-27,0,-0.05,-0.06,0,0,4.22,0,2.95,0,0,0,0,0,0,0,0,0,0,-0.01,0,0,0,-0.03,-0.2,0
"21","403S06315","403S06315_6.27.12_1",1.1098912684925,1.14257984335603,1.14871552343803,2012-06-27,0,-0.02,0,-3,NA,NA,NA,0.37,0,0,0,0,0,0,0,0,0,0,-0.46,0,0,0,-0.01,-0.42,0
"22","403S07024","403S07024_6.13.12_1",0.911650582155054,0.838347827189442,0.4613446744604,2012-06-13,-26,0.08,0,-1,0.5,7.475,-4.5,3.9,0,0,0,0,0,0,0,0,0,-1,-0.18,0,0,0,0,-0.365,0
