"","stationcode","sampleid","sampledate","oovere","mmi","csci","latitude","longitude","DS_Dur_WS","DS_Mag_50","DS_Mag_90","DS_Tim","FA_Dur","FA_Mag","FA_Tim","Peak_2","Peak_Dur_10","Peak_Dur_2","Peak_Dur_5","Peak_Fre_10","Peak_Fre_2","Peak_Fre_5","Peak_Tim_10","Peak_Tim_2","Peak_Tim_5","SP_Dur","SP_Mag","SP_ROC","SP_Tim","Wet_BFL_Dur","Wet_BFL_Mag_10","Wet_BFL_Mag_50","Wet_Tim"
"1","312PS0099","312PS0099_06142010_BMI_RWB_1","6/14/10",1.11687099,1.07707254,1.09697177,34.77948,-119.95802,0.166666666666667,0,0.005,-0.631578947368421,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0.0085,0,0,0,0.01,0.019,0
"2","312WE1028","312WE1028_05292002_BMI_RWB_1","5/29/02",1.29627794,0.73128893,1.01378344,34.74721,-119.71562,0.25,0,0.0025,-1.53846153846154,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,-0.166666666666667,-0.0123076923076923,0.00166666666666667,0,0,0.00833333333333333,0.0116666666666667,0
"3","312WE1035","312WE1035_05302002_BMI_RWB_1","5/30/02",0.98393678,1.15763895,1.07078787,34.73287,-119.67637,0,0,0,-0.583333333333333,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,-0.00416666666666667,0,0,-0.625,0.0025,0.0025,0.625
"4","314SYL","314SYL_04042002_BMI_CSBP_Trans_1","4/4/02",1.00210875,0.75676227,0.87943551,34.64387,-120.43045,87,0.68,7.545,-33,NA,NA,NA,70.71,0,-234,-82,0,1,0.25,0,80.45,1.25,30.25,21.97,-0.01,109.75,3,3.1225,9.9675,-3
"5","314WE0542","314WE0542_07112000_BMI_CSBP_Trans_1","7/11/00",0.94113407,0.81614835,0.87864121,34.55085,-120.3583,-2.69565217391304,0.0091304347826087,-0.0117391304347826,-0.173913043478261,0,0.23,0,0,-79,0.173913043478261,-68.2,1,0,3,24.3333333333333,0,24.6,26.2173913043478,0.0752173913043478,-0.0730434782608696,-26.3913043478261,-23.5217391304348,-0.812173913043478,0.88695652173913,-2.8695652173913
"6","314WE0677","314WE0677_07232008_BMI_RWB_1","7/23/08",0.88825769,1.01024097,0.94924933,34.7477,-120.05303,-0.6,0,0,-1.13333333333333,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,-0.0909090909090909,0.00533333333333333,0,0,0.8,0.002,-0.454,-0.8
"7","314WE0779","314WE0779_07112001_BMI_CSBP_Trans_1","7/11/01",1.18379215,1.03092614,1.10735915,34.66959,-119.75404,0.25,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.181818181818182,0,0.0436363636363636,0.181818181818182
"8","314WE0796","314WE0796_07102001_BMI_CSBP_Trans_1","7/10/01",1.17617629,1.02755675,1.10186652,34.68351,-119.79875,13.0434782608696,0.0282608695652174,0.45304347826087,2.34782608695652,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,2.34782608695652,0,0.00260869565217391,0,-14.3478260869565,0.479565217391304,0.00478260869565217,14.3478260869565
"9","314WE1046","314WE1046_06122002_BMI_RWB_1","6/12/02",1.06892131,1.16384957,1.11638544,34.5365,-119.83603,0.5,0,0.005,-0.285714285714286,NA,NA,NA,0.04,0,-5.7,0,0,1.1,0,0,15.2,0,-0.285714285714286,0.13,0,0,0,0.0142857142857143,-0.0114285714285714,0
"10","315CE0584","315CE0584_06072006_BMI_RWB_1","6/7/06",1.31696774,0.92584944,1.12140859,34.47666,-120.33833,-1,0.00125,0,-0.307692307692308,NA,NA,NA,0,0,-0.0833333333333333,0,0,0,0,0,0,0,1,0.0115384615384615,0.000833333333333333,-0.846153846153846,1,0,-0.0545454545454545,-1.83333333333333
"11","315GAVGSP","315GAVGSP_05232001_BMI_CSBP_Trans_1","5/23/01",0.61621207,0.61676591,0.61648899,34.47395,-120.22866,NA,NA,NA,0,NA,NA,NA,0,0,0,-354.2,0,0,2.6,0,0,150.2,0,0.305652173913043,0,14.8260869565217,1,0,1.47,-1
"12","315MIU","315MIU_04282008_BMI_RWB_1","4/28/08",1.11250293,0.90820362,1.01035327,34.44673,-119.70745,-0.333333333333333,-0.00333333333333333,-0.00666666666666667,-2.375,NA,NA,NA,0.05,0,-17.6,-1,0,0,0,0,-0.05,0,-0.75,1.28125,0,15.25,0.75,0.035,-0.0075,-0.25
"13","402BA0079","402BA0079_05282008_BMI_RWB_1","5/28/08",0.84225358,0.76776221,0.8050079,34.41183,-119.27418,4.77777777777778,-0.162222222222222,-0.348888888888889,-16.05,NA,NA,NA,31.83,0,-71.5454545454545,0,0,0.909090909090909,0,0,9.54545454545454,0,9.8,14.9259090909091,0,61,5.9,-0.012,0.277,-1.9
"14","402BA0095","402BA0095_05292008_BMI_RWB_1","5/29/08",1.32741831,1.10448302,1.21595066,34.46328,-119.34566,1.66666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000769230769230769,0,0,-1.69230769230769,0.000769230769230769,0.113846153846154,1.69230769230769
"15","402BA0143","402BA0143_05212008_BMI_RWB_1","5/21/08",0.75197227,0.58339355,0.66768291,34.36483,-119.31057,-23.25,-0.945833333333333,-2.02833333333333,-3.57142857142857,0,-207.79,-42,50.54,0,0,0,0,0,0,0,0,0,15.6,34.0513636363636,0,39.7727272727273,4.07692307692308,0.0769230769230769,1.13384615384615,-0.923076923076923
"16","402BA0287","402BA0287_06092008_BMI_RWB_1","6/9/08",1.06228056,1.01762477,1.03995266,34.50284,-119.36644,-1.1,0.006,0.002,-0.380952380952381,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0.0327272727272727,0,0.772727272727273,0.833333333333333,0.03,0.0366666666666667,-0.833333333333333
"17","402BA0335","402BA0335_05272008_BMI_RWB_1","5/27/08",0.97330032,0.72707352,0.85018692,34.37965,-119.30751,-16.6111111111111,0.441666666666667,0.386111111111111,9.57142857142857,-1.66666666666667,92.2766666666667,0,17.72,0,0.0833333333333333,0,0,0.0833333333333333,0,0,2.79166666666667,0,6.16666666666667,-30.8742857142857,-0.00222222222222222,16.2105263157895,9.16666666666667,0.312222222222222,-11.6238888888889,-3
"18","402WE0536","402WE0536_06142000_BMI_CSBP_Trans_1","6/14/00",1.2958773,1.01388147,1.15487938,34.5196,-119.40537,0,0,0,-0.368421052631579,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0.181818181818182,0.0121052631578947,-0.000909090909090909,0,0,0.00363636363636364,0.00181818181818182,0
"19","402WE0803","402WE0803_06122001_BMI_CSBP_Trans_1","6/12/01",0.89504086,0.92623915,0.91064,34.42131,-119.3806,0.916666666666667,-0.00333333333333333,0.00333333333333333,-0.428571428571429,-31,0.16,0,-0.01,0,0.0833333333333333,0,0,0,0,0,-0.0833333333333333,0,0,0.000909090909090909,0,0,-0.857142857142857,0.333571428571429,0.847857142857143,0.857142857142857
"20","403BA0015","403BA0015_05192008_BMI_RWB_1","5/19/08",1.02851554,0.98517561,1.00684557,34.5312,-119.18421,0,0,0,-0.0625,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0.000625,0,0,0,0,0,0
"21","403BA0027","403BA0027_06182014_BMI_RWB_MCM_1","6/18/14",0.95929163,0.90659145,0.93294154,34.66254,-119.05249,0,0,0,-0.916666666666667,NA,NA,NA,0,0,0.166666666666667,0,0,0.0833333333333333,0,0,3.41666666666667,0,0.2,0.09,0.002,-0.0833333333333333,-0.2,0.014,0.002,0
"22","403BA0171","403BA0171_05192008_BMI_RWB_1","5/19/08",1.00797511,1.07762104,1.04279807,34.58516,-119.28363,5.33333333333333,0.00777777777777778,0.00111111111111111,-5.80952380952381,2,0.12,0,-0.02,0,0,0,0,0,0,0,0,0,0.0909090909090909,0.311904761904762,-0.000909090909090909,2.85714285714286,0.0909090909090909,0.212727272727273,-0.00818181818181818,-0.0909090909090909
"23","403BA0960","403BA0960_05212008_BMI_RWB_1","5/21/08",1.21564701,1.15631671,1.18598186,34.59078,-118.4617,19.3478260869565,-0.00956521739130435,0.660869565217391,2,NA,NA,NA,0.02,0,-43.9,0,0,0.6,0,0,4.85,0,-14.0869565217391,0.00826086956521739,0.01,16.0869565217391,-5.30434782608696,0.710869565217391,0.96,21.3913043478261
"24","403CE0188","403CE0188_05262016_BMI_RWB_1","5/26/16",0.97277465,0.87005079,0.92141272,34.35646,-119.04752,-6.875,0.09625,0.258125,4.55,1,1.895,-3.5,10.99,0,0,0,0,0,0,0,0,0,-2.25,-14.233,0.006875,30.0526315789474,0.8125,0.15625,0.203125,-0.823529411764706
"25","403S00640","403S00640_06112009_BMI_RWB_1","6/11/09",0.83594331,0.9697914,0.90286736,34.60115,-118.558,0.1875,-0.008125,0.010625,-0.523809523809524,-1,1.89,-8,2.02,-0.666666666666667,-5,-2.6,0,0.166666666666667,0,-0.166666666666667,-0.5,0,-8.13333333333333,-0.567391304347826,0,19,8.35714285714286,0.172142857142857,0.932142857142857,-0.444444444444444
"26","403S00831","403S00831_06102010_BMI_RWB_1","6/10/10",0.50063777,0.49407019,0.49735398,34.43048,-118.8318,0,0,0,-3,NA,NA,NA,0.08,0,-10,0,0,0.333333333333333,0,0,10.1111111111111,0,0,0.00375,0,0,0,0,0,0
"27","403S00875","403S00875_06242010_BMI_RWB_1","6/24/10",0.81519658,0.75985826,0.78752742,34.55668,-119.30629,0.111111111111111,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0769230769230769,0,0,0.0769230769230769
"28","403S01195","403S01195_06102009_BMI_RWB_1","6/10/09",0.84471377,0.81192753,0.82832065,34.55903,-119.2678,-0.0588235294117647,-0.00176470588235294,0.0429411764705882,-0.954545454545455,-1.66666666666667,4.09,0,0.98,0,0.0833333333333333,0,0,0.0833333333333333,0,0,1.54166666666667,0,0,1.05434782608696,0,0,0,0.0170588235294118,-0.00705882352941176,-0.0555555555555556
"29","403S01536","403S01536_07122011_BMI_RWB_1","7/12/11",1.14601236,0.81793441,0.98197339,34.56909,-118.39212,-1.82608695652174,0.01,0.0256521739130435,-0.260869565217391,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,28.7391304347826,0,-0.0239130434782609,-29,-26.9130434782609,-0.80304347826087,0.769565217391304,-2.08695652173913
"30","403S01707","403S01707_06072010_BMI_RWB_1","6/7/10",0.80468203,0.6366526,0.72066732,34.59835,-119.34799,-1.2,0.0113333333333333,-0.0353333333333333,-0.545454545454545,NA,NA,NA,0.57,0,0,0,0,0,0,0,0,0,0.0555555555555556,0.204090909090909,-0.00111111111111111,0.363636363636364,1.0625,0.05875,-0.711875,-1.0625
"31","403S01728","403S01728_07132011_BMI_RWB_1","7/13/11",1.33194284,1.18519979,1.25857131,34.5749,-118.46002,8.52173913043478,0.0365217391304348,0.116521739130435,-4.08695652173913,NA,NA,NA,1.7,-119,-118,-118.8,0,1,0.2,19.6666666666667,35.5416666666667,29.6,-45.2173913043478,1.03130434782609,-0.0404347826086957,41.1304347826087,36.5652173913044,0.263913043478261,0.68695652173913,4.56521739130435
