"","Bug_StationCode","SampleID","SampleDate","MostRecentSample","CSCI","CSCI_Percentile","OoverE","OoverE_Percentile","MMI","MMI_Percentile","DS_Dur_WS","DS_Mag_50","DS_Mag_90","DS_Tim","FA_Dur","FA_Mag","FA_Tim","Peak_2","Peak_Dur_10","Peak_Dur_2","Peak_Dur_5","Peak_Fre_10","Peak_Fre_2","Peak_Fre_5","Peak_Tim_10","Peak_Tim_2","Peak_Tim_5","SP_Dur","SP_Mag","SP_ROC","SP_Tim","Wet_BFL_Dur","Wet_BFL_Mag_10","Wet_BFL_Mag_50","Wet_Tim"
"1","314SYL","314SYL373501BMI_CSBP_Trans","4/4/02",2,0.864352091,0.2,0.982549471,0.46,0.746154711,0.08,59,0.38,3.62,-169,NA,NA,NA,70.71,0,-364,-176,0,0,0,0,-26.5,0,-2,-18.75,-0.08,0,0,0,-0.91,-12
"2","315GAVGSP","315GAVGSP370341BMI_CSBP_Trans","5/23/01",1,0.629634589,0.01,0.644804424,0.03,0.614464754,0.02,NA,NA,NA,0,NA,NA,NA,0,0,0,-363,0,0,0,0,0,128,0,0,0,0,-1,0,0,-3
"3","315MIU","315MIU395661BMI_RWB","4/28/08",3,1.013557289,0.53,1.118516457,0.73,0.908598121,0.3,-1,-0.01,-0.02,-18,NA,NA,NA,0.05,0,-60,-2,0,0,0,0,-0.5,0,-2,-0.99,0,0,0,-0.01,-0.12,-1
"4","403SPCNWS","403SPCNWS417511BMI_RWB","4/22/14",1,1.113268983,0.76,1.273107613,0.92,0.953430352,0.4,0,-0.04,-0.05,-1,0,0.29,0,3.35,0,0,0,0,0,0,0,0,0,-1,-0.57,0,0,0,-0.03,-0.17,0
"5","403STC009","403STC009376571BMI_CSBP_Trans","2/5/03",2,1.008875305,0.52,0.954074895,0.4,1.063675716,0.64,-74,-0.02,-0.62,-35,-1,-110.76,-61,23,0,0,0,0,0,0,0,0,0,-1,-2.51,0,0,0,-0.48,-5.93,-2
"6","403STC070","403STC070376571BMI_CSBP_Trans","2/5/03",1,1.134349748,0.8,1.272685694,0.92,0.996013803,0.49,-1,-0.04,-0.05,-3,0,0.12,0,0.67,0,0,0,0,0,0,0,0,0,-1,-0.66,-0.01,0,0,-0.03,-0.36,0
"7","408CAL012","408CAL012371941BMI_CSBP_Trans","10/30/01",1,0.636061973,0.01,0.706332608,0.06,0.565791339,0.01,-62,-0.58,-0.84,-192,NA,NA,NA,121.73,-1,-250,-1,0,0,0,0,-20,0,-5,-115.46,-0.18,-1,4,-1.29,-38.24,-63
"8","722ABSPPC","722ABSPPC417501BMI_RWB","4/21/14",2,0.934342033,0.34,1.183426534,0.83,0.685257532,0.04,NA,NA,NA,-1,NA,NA,NA,0.19,-1,-364,0,0,0,0,0,-41.5,0,0,-0.01,0,0,0,0,0,-1
"9","802SJR116","802SJR116414631BMI_RWB","7/8/13",2,0.311941332,0,0.37853781,0,0.245344854,0,56,0.12,0.26,-298,NA,NA,NA,370.64,0,-364,-2,0,0,0,0,-4.5,-17,-38,-4.53,0,-1,2,-2.51,-11.62,-8
"10","901ATCDOS","901ATCDOS417581BMI_RWB","4/29/14",1,0.638971908,0.01,0.856065144,0.22,0.421878671,0,-35,0.2,2.87,-33,NA,NA,NA,217.9,-20,-317,-37,1,0,-2,-37.5,-48,-96,-116,-49.68,0,-4,0,-1.38,-17.56,-46
"11","901DCCSMC","901DCCSMC406791BMI_RWB","5/16/11",1,1.135279907,0.8,1.168165087,0.81,1.102394728,0.72,5,0.05,0.21,-43,NA,NA,NA,2.61,0,-364,0,0,0,0,0,-2,0,0,-0.44,-0.01,-1,-1,0,-0.09,0
"12","909SSWR03","909SSWR03399231BMI_RWB","4/20/09",5,0.888283956,0.24,0.777623756,0.12,0.998944156,0.5,-2,-0.01,-0.02,0,NA,NA,NA,0,-1,0,0,0,0,0,0,0,-1,0,-0.41,0,0,0,0,-1.15,-2
"13","LALT501","LALT501410811NR","6/21/12",1,0.583713304,0,0.542260268,0.01,0.625166341,0.02,-194,0,-28.93,-27,-1,293.78,-61,2879.42,-1,-89,-35,0,-2,-2,-1,-31,-29.5,-98,-3297.21,0,-8,-4,-383.65,-823.43,-90
