"","hydro","bio","Condition"
"245",-0.005,0.183599139,0
"184",0.405,0.201374381,0
"9",5.9,0.245344854,0
"29",-18.355,0.251518107,0
"99",0.5,0.261586052,0
"186",-3.515,0.267087101,0
"65",-0.01,0.278322752,0
"50",0.07,0.288398205,0
"46",-0.215,0.298511551,0
"105",-10.55,0.315296325,0
"43",-0.58,0.321536142,0
"193",-1.845,0.323600257,0
"159",0.665,0.324768515,0
"269",-0.07,0.325978447,0
"254",0,0.336326202,0
"216",-0.2,0.341042086,0
"30",0.005,0.342753702,0
"199",5.435,0.356140553,0
"182",0.085,0.36004191,0
"214",-0.49,0.36326712,0
"73",0,0.363667656,0
"40",-0.2,0.373333871,0
"35",0.03,0.378159997,0
"176",-8.65,0.378943272,0
"166",-0.36,0.383360503,0
"160",-0.245,0.383948062,0
"85",0.01,0.387716525,0
"179",256.635,0.401136144,0
"118",0.04,0.405851308,0
"170",-2.72,0.414811914,0
"198",5.99,0.415713181,0
"79",-0.32,0.418259879,0
"10",3.025,0.421878671,0
"62",-4.41,0.423718824,0
"177",-0.13,0.42624533,0
"41",-0.99,0.428708937,0
"146",0.33,0.430074926,0
"63",-0.035,0.431080768,0
"194",0.13,0.431632994,0
"144",0.495,0.437732284,0
"117",-0.33,0.437914084,0
"98",0.01,0.440242596,0
"164",-8.395,0.440769759,0
"86",23.435,0.446283848,0
"258",-0.4,0.450239728,0
"151",0.115,0.452239,0
"241",1.16,0.452343753,0
"100",-0.14,0.45750017,0
"77",-0.025,0.457976923,0
"195",1.54,0.458144986,0
"267",-0.51,0.459240972,0
"157",-0.125,0.460951692,0
"58",2.005,0.463317285,0
"255",0.22,0.463611392,0
"96",-0.07,0.464507671,0
"53",0,0.468617825,0
"32",-3.945,0.468643546,0
"181",0.5,0.471600347,0
"135",-0.05,0.472861687,0
"88",-0.275,0.483365473,0
"45",0.09,0.484253114,0
"61",0.06,0.486417705,0
"154",0.07,0.487045118,0
"165",0,0.487393908,0
"87",0.64,0.48943528,0
"270",-0.005,0.494128919,0
"188",0.05,0.499100256,0
"111",0.26,0.501764249,0
"52",0.42,0.506118169,0
"80",-8.45,0.509525634,0
"84",-0.23,0.509890251,0
"28",-0.005,0.511033603,0
"74",0.115,0.511329712,0
"97",-13.895,0.513536282,0
"110",-0.34,0.514617996,0
"107",-0.75,0.514791041,0
"82",-0.05,0.518573522,0
"140",-1.82,0.528576992,0
"90",0.585,0.530565885,0
"225",0,0.531300034,0
"42",-0.37,0.532234303,0
"101",-0.33,0.532718918,0
"126",0.32,0.534098016,0
"25",-1.27,0.534908259,0
"76",0.08,0.53663685,0
"89",-0.705,0.537708806,0
"113",-0.185,0.54112994,0
"167",-2.72,0.542317119,0
"262",0,0.550027354,0
"95",0.37,0.550293777,0
"108",0.615,0.55190933,0
"14",-4.05,0.558848559,0
"252",0.39,0.565626326,0
"7",-0.005,0.565791339,0
"197",260.57,0.568863039,0
"128",-0.04,0.56937449,0
"133",0.07,0.576533651,0
"69",-0.035,0.577077692,0
"215",0,0.578580709,0
"189",0,0.579934665,0
"81",3.2,0.580337956,0
"158",0,0.582313829,0
"171",2.35,0.586815586,0
"211",0.1,0.591755844,0
"264",247.07,0.591909932,0
"92",0,0.597490739,0
"39",-0.54,0.607447699,0
"196",240.6,0.607742872,0
"208",0,0.611809758,0
"49",-0.01,0.620772767,0
"147",-0.63,0.622205392,0
"136",-0.3,0.622864821,0
"116",-0.32,0.624261012,0
"13",5.77,0.625166341,0
"72",0.37,0.634095509,0
"272",0,0.637976036,0
"230",0.005,0.643367179,0
"121",0.94,0.645618026,0
"127",-1.1,0.648606947,0
"228",2.58,0.650238781,0
"161",1.48,0.652571704,0
"152",-0.09,0.653093615,0
"59",5.465,0.65415112,0
"237",0,0.659594829,0
"206",-0.075,0.673798678,0
"119",-0.05,0.687723082,0
"125",0.18,0.689126334,0
"83",0,0.689696681,0
"71",-0.11,0.698033155,0
"202",0.02,0.698524859,0
"149",-0.81,0.700728735,0
"259",-0.02,0.701766333,0
"174",-0.08,0.704900137,0
"169",0,0.706258626,0
"55",-0.005,0.710255874,0
