"","hydro","bio","Condition"
"338",182,0.20101656,0
"340",-11,0.22569987,0
"98",1,0.24113287,0
"399",15.5,0.24667028,0
"320",-42,0.24770822,0
"88",-53,0.25195626,0
"189",-10.5,0.25220035,0
"258",-7,0.26301733,0
"90",-53,0.26984725,0
"224",-52,0.27796493,0
"210",-31,0.28885329,0
"99",-30.5,0.29408839,0
"206",120.5,0.29779591,0
"190",6,0.30883195,0
"68",37.5,0.31196921,0
"203",-60,0.31867358,0
"67",-17,0.31891106,0
"346",14,0.32171354,0
"315",-42,0.32405288,0
"61",-46.5,0.33288402,0
"367",121,0.34032794,0
"337",-14,0.35978577,0
"326",148,0.36012937,0
"133",-47.5,0.3720908,0
"37",-26,0.37787701,0
"332",-63,0.38067881,0
"316",-55.5,0.3812226,0
"205",-16,0.38448802,0
"232",0,0.38983584,0
"244",62,0.39057908,0
"322",-55,0.39093934,0
"127",125,0.39144727,0
"199",-66,0.39259579,0
"365",166,0.39479215,0
"195",29,0.39761767,0
"334",-73,0.39927356,0
"275",-13,0.40584806,0
"387",2,0.40702682,0
"62",-25,0.40734668,0
"200",1.5,0.41666899,0
"112",166,0.41813884,0
"238",-19,0.42016909,0
"221",0,0.42371882,0
"333",-90,0.42617241,0
"102",-1.5,0.42857332,0
"201",-20,0.42906154,0
"347",-33,0.43018938,0
"302",8.5,0.43031389,0
"222",-2,0.43048171,0
"135",-28,0.43343419,0
"82",5,0.43919335,0
"91",154.5,0.44047644,0
"257",-35,0.44125561,0
"149",-13,0.44184056,0
"274",-36,0.44433776,0
"300",158.5,0.44466963,0
"245",-13,0.44541211,0
"307",-28.5,0.45126926,0
"236",-33.5,0.4520958,0
"259",161.5,0.45728792,0
"72",-6,0.45783839,0
"255",-20.5,0.45802702,0
"64",-28,0.45820303,0
"313",-93.5,0.46101567,0
"348",-42,0.46288418,0
"400",-2,0.465791,0
"336",130,0.47040609,0
"100",-4.5,0.47239027,0
"138",-69,0.47509683,0
"397",0,0.48118297,0
"220",-7,0.48710971,0
"310",-4,0.48732614,0
"192",-19.5,0.49112596,0
"26",0,0.49407019,0
"268",-18,0.50231064,0
"76",-13,0.50348232,0
"65",-27,0.50549524,0
"406",-1.5,0.50553423,0
"212",-33,0.50950066,0
"243",149,0.50989025,0
"239",-4,0.51140875,0
"233",163.5,0.51186241,0
"267",-15,0.51334848,0
"256",-4.5,0.51336926,0
"175",-132,0.51768928,0
"241",13,0.51898804,0
"80",-27,0.51923379,0
"174",-194,0.52379135,0
"270",166.5,0.52491091,0
"75",-74,0.52520388,0
"296",130,0.52537195,0
"283",0,0.52688053,0
"81",-99,0.5275603,0
"188",-25.5,0.52783324,0
"260",-95,0.53014507,0
"202",-118.5,0.5304247,0
"249",-26,0.53114098,0
"246",-86,0.53327317,0
"235",3.5,0.53549199,0
"291",171,0.5397062,0
"323",-69,0.54050347,0
"265",157,0.5428412,0
"264",150,0.54651641,0
"254",-31,0.54884563,0
"321",-9,0.55805589,0
"92",166.5,0.55818325,0
"101",-12.5,0.5589496,0
"132",-7,0.5596484,0
"74",-90,0.55965578,0
"247",-61.5,0.56113256,0
"94",56,0.5622054,0
"79",-9,0.56609057,0
"285",52,0.56802958,0
"95",172,0.56951694,0
"350",-4,0.57056767,0
"103",-9,0.57819127,0
"366",0,0.57858071,0
"228",-7.5,0.57989917,0
"342",0,0.57993177,0
"93",162,0.58187625,0
"15",0.5,0.58339355,0
"314",0,0.58483,0
"327",-48,0.58532046,0
"317",81,0.58867072,0
"362",2,0.59035425,0
"39",-1,0.59065022,0
"289",104.5,0.59210016,0
"408",0,0.59621084,0
"73",-16,0.59635442,0
"160",1,0.59669067,0
"70",-32,0.59700165,0
"248",73,0.59788416,0
"35",0,0.59795477,0
"349",-4,0.60693452,0
"57",-6,0.60907211,0
"359",-16,0.61540873,0
"292",-143,0.61667709,0
