"","hydro","bio","Condition"
"98",0.04,0.24113287,0
"99",-73.62,0.29408839,0
"203",81.22,0.31867358,0
"61",500.98,0.33288402,0
"37",7.475,0.37787701,0
"205",8.24,0.38448802,0
"199",55.31,0.39259579,0
"195",14.25,0.39761767,0
"200",0.135,0.41666899,0
"221",-96.74,0.42371882,0
"102",1902.66,0.42857332,0
"201",35.62,0.42906154,0
"302",11.505,0.43031389,0
"222",2.72,0.43048171,0
"135",9.92,0.43343419,0
"149",0.195,0.44184056,0
"274",-2.41,0.44433776,0
"300",67.04,0.44466963,0
"307",166.51,0.45126926,0
"236",5.08,0.4520958,0
"255",16.59,0.45802702,0
"348",683.59,0.46288418,0
"100",-2271.46,0.47239027,0
"220",8.4,0.48710971,0
"310",-0.87,0.48732614,0
"192",-13.51,0.49112596,0
"212",0.59,0.50950066,0
"233",50.51,0.51186241,0
"256",-2294.04,0.51336926,0
"175",-34.67,0.51768928,0
"241",1.71,0.51898804,0
"80",14.05,0.51923379,0
"174",976.73,0.52379135,0
"202",104.69,0.5304247,0
"249",-0.54,0.53114098,0
"235",0.775,0.53549199,0
"265",21.35,0.5428412,0
"101",-828.075,0.5589496,0
"132",0.225,0.5596484,0
"247",2.41,0.56113256,0
"103",0.33,0.57819127,0
"228",9.5,0.57989917,0
"342",0.07,0.57993177,0
"15",-207.79,0.58339355,0
"317",-732.45,0.58867072,0
"39",12.69,0.59065022,0
"289",-18.74,0.59210016,0
"73",15.275,0.59635442,0
"248",25.35,0.59788416,0
"35",4.22,0.59795477,0
"349",1740.99,0.60693452,0
"359",0.17,0.61540873,0
"292",57.255,0.61667709,0
"209",317.69,0.61961235,0
"240",80.21,0.63704813,0
"380",11.37,0.64189562,0
"278",101.59,0.65292474,0
"218",622.155,0.65482538,0
"284",23.64,0.65587449,0
"185",21.8,0.65625936,0
"386",-0.17,0.65959483,0
"230",2.75,0.66225542,0
"357",18.13,0.67317922,0
"197",4.98,0.67421387,0
"213",5.75,0.67925694,0
"353",-12.73,0.69659429,0
"330",1.485,0.69854011,0
"181",0.3,0.70185628,0
"38",5.095,0.70403328,0
"43",12.77,0.71140243,0
"17",88.51,0.72707352,0
"207",0.51,0.72741732,0
"53",0.22,0.73111317,0
"328",89.29,0.73188399,0
"305",23.36,0.75381748,0
"214",0.01,0.76985381,1
"251",9.39,0.77230682,1
"384",0.19,0.77677169,1
"105",1.48,0.77948508,1
"304",2.22,0.78080294,1
"204",4.925,0.78695006,1
"191",-0.97,0.80367303,1
"28",4.06,0.81192753,1
"371",0.095,0.81429965,1
"5",0.23,0.81614835,1
"144",-0.11,0.82614786,1
"177",-0.13,0.83116748,1
"176",6.75,0.8412268,1
"156",0.22,0.8580051,1
"298",15.4,0.86239896,1
"24",1.895,0.87005079,1
"312",0.645,0.87280097,1
"137",0.2,0.8790989,1
"225",0,0.88071249,1
"186",0,0.88872797,1
"129",0.5,0.89775454,1
"128",0.11,0.89855991,1
"287",0.32,0.90395482,1
"297",11.25,0.90666885,1
"208",0.305,0.9201868,1
"46",5.685,0.92513686,1
"19",0.16,0.92623915,1
"167",10.615,0.92886087,1
"345",0.46,0.93162723,1
"271",2.52,0.95729659,1
"34",3.68,0.96709257,1
"25",1.89,0.9697914,1
"276",0.01,0.98248705,1
"45",1.2,0.98461951,1
"41",3.44,0.98502314,1
"198",-0.07,0.98677618,1
"319",0.405,1.00765144,1
"32",5.65,1.03018274,1
"33",5.685,1.03553065,1
"22",0.12,1.07762104,1
"211",-0.215,1.07874941,1
"40",12.62,1.09717344,1
"14",0,1.10448302,1
"52",4.29,1.12138198,1
"87",0.18,1.14574154,1
"124",5.41,1.15130685,1
"116",0.04,1.17019451,1
"147",0.16,1.19546283,1
"159",0.21,1.20699832,1
"125",0.46,1.24086963,1
"148",0.22,1.24502608,1
"50",0.13,1.2850019,1
