"","hydro","bio","Condition"
"382",0,0,0
"258",0.5,0.12843705,0
"399",9.08,0.12914001,0
"407",0,0.1529985,0
"210",0.07,0.20542871,0
"365",-0.49,0.22448387,0
"203",-0.58,0.23429339,0
"338",0.405,0.24551089,0
"346",-1.845,0.25638837,0
"321",0,0.2568856,0
"98",0,0.266129,0
"37",0,0.33377852,0
"206",-0.215,0.3389655,0
"367",-0.2,0.3389655,0
"238",-0.32,0.35812668,0
"358",0.11,0.35944321,0
"322",-0.36,0.38244883,0
"340",-3.515,0.38458256,0
"320",-8.395,0.38473677,0
"332",-8.65,0.38473878,0
"88",0.2,0.38989811,0
"363",0,0.39320791,0
"190",0.005,0.39645478,0
"244",0.01,0.39806072,0
"112",-0.49,0.39845887,0
"179",-0.01,0.40431592,0
"90",0.2,0.42151147,0
"35",-0.06,0.42262585,0
"356",-0.01,0.42581508,0
"61",1.305,0.42953167,0
"384",0,0.43721671,0
"362",0.1,0.43860735,0
"201",-0.99,0.44435759,0
"275",0.04,0.44491679,0
"386",0,0.45002717,0
"77",0.25,0.45160413,0
"67",-0.34,0.45596072,0
"404",0,0.47978956,0
"326",-2.72,0.48636422,0
"354",-0.01,0.49493697,0
"92",-0.68,0.49921918,0
"26",0,0.50063777,0
"189",-18.355,0.50659424,0
"199",-0.54,0.50749558,0
"334",256.635,0.50994226,0
"402",247.07,0.51000921,0
"381",0,0.51023943,0
"377",0,0.51029346,0
"315",0.665,0.51117244,0
"175",-4.05,0.51148097,0
"224",-0.01,0.51395308,0
"72",0.19,0.54496177,0
"283",0.32,0.56215127,0
"403",0.1,0.5622131,0
"200",-0.2,0.56409891,0
"395",0,0.56445899,0
"255",-0.07,0.56476926,0
"406",-0.005,0.56482775,0
"133",0.05,0.56525695,0
"397",-0.02,0.57176397,0
"267",-0.34,0.5736453,0
"408",0,0.5795684,0
"405",-0.28,0.58024666,0
"68",-0.76,0.58140572,0
"99",-0.39,0.58420235,0
"62",0.07,0.58896347,0
"109",-0.01,0.58976735,0
"393",0,0.59386859,0
"221",-4.41,0.59636896,0
"64",-0.32,0.60294547,0
"316",-0.245,0.60391094,0
"195",0.03,0.60644694,0
"300",0.495,0.60786481,0
"63",-0.31,0.60968734,0
"73",0.45,0.61217202,0
"75",0.14,0.61386252,0
"348",1.54,0.61506606,0
"80",0.12,0.61848048,0
"254",0.37,0.61926361,0
"76",0.22,0.62048115,0
"122",0,0.62480521,0
"389",-0.05,0.62551223,0
"323",-2.72,0.62590045,0
"38",-0.04,0.6328693,0
"310",0.07,0.63452129,0
"246",0.64,0.63499858,0
"289",0.07,0.63519592,0
"357",-0.075,0.64005872,0
"39",0.25,0.64045402,0
"91",-0.105,0.6407612,0
"243",-0.23,0.64311282,0
"231",0.37,0.64799035,0
"378",2.58,0.65036397,0
"371",0,0.65141167,0
"409",0,0.65536081,0
"79",0.22,0.65591767,0
"302",0.33,0.66097717,0
"59",-0.32,0.66784033,0
"239",-8.45,0.6683719,0
"260",-0.33,0.67000537,0
"366",0,0.67015301,0
"333",-0.13,0.6730461,0
"359",0,0.67321659,0
"241",-0.05,0.67352333,0
"385",0,0.67421868,0
"188",-0.005,0.68350335,0
"95",-0.32,0.68520605,0
"245",23.435,0.69113914,0
"394",0,0.69602838,0
"388",0,0.69998073,0
"53",0.01,0.7016109,0
"236",-0.025,0.70428368,0
"270",-0.185,0.70731384,0
"372",0,0.70887591,0
"380",0.005,0.71113,0
"307",0.115,0.71737683,0
"360",0,0.72423025,0
"274",-0.33,0.72603365,0
"248",-0.705,0.72895302,0
"102",-6.03,0.72943747,0
"369",0.1,0.72949256,0
"192",-3.945,0.72958736,0
"94",-0.005,0.73202817,0
"205",0.09,0.73483131,0
"82",-0.01,0.74064526,0
"100",-13.9,0.74091358,0
"264",-0.75,0.74282499,0
"240",3.2,0.74743873,0
"78",0.31,0.75093391,0
"15",-0.05,0.75197227,0
"303",-0.63,0.75931819,1
"101",-7.23,0.761421,1
