"","hydro","bio","Condition"
"245",0,0.166063034,0
"99",15,0.1885897,0
"184",-164,0.216981821,0
"50",-24,0.253333106,0
"43",-15,0.277914767,0
"269",22,0.285204687,0
"193",-98,0.289992483,0
"214",-91,0.293870203,0
"186",-73.5,0.303398421,0
"9",-19.5,0.311941332,0
"46",-65.5,0.318738524,0
"216",-69,0.340003791,0
"164",-1.5,0.348630471,0
"64",83,0.348940083,0
"30",-28.5,0.362996662,0
"170",-78,0.376993482,0
"176",20,0.381841026,0
"29",-32.5,0.382262467,0
"79",-66,0.388297325,0
"159",-59,0.389572009,0
"68",-19,0.391205247,0
"65",-27,0.396114756,0
"248",94,0.398176109,0
"85",-37,0.409708088,0
"105",10,0.416283489,0
"118",-2,0.428265381,0
"41",-21,0.436533265,0
"166",28,0.440438387,0
"35",-32.5,0.452731714,0
"199",-19.5,0.458302475,0
"271",-2,0.459395473,0
"232",-4,0.480810801,0
"87",-26,0.482040341,0
"247",83,0.482161857,0
"160",28,0.484394064,0
"179",43,0.489214421,0
"58",-18.5,0.48967418,0
"165",-5,0.500582554,0
"258",-60,0.505474327,0
"96",-9,0.510156172,0
"117",-5,0.517912075,0
"211",12,0.51890115,0
"62",-142,0.522869031,0
"270",0,0.529478332,0
"126",-10.5,0.531260106,0
"110",-69,0.540908922,0
"195",-18,0.543757456,0
"146",-8,0.545537297,0
"144",-186,0.5475222,0
"40",-12.5,0.549301949,0
"201",15,0.551570687,0
"177",34,0.553188065,0
"237",0,0.554811002,0
"254",0,0.556228658,0
"135",-123,0.556401801,0
"86",-12,0.562595219,0
"182",-27.5,0.562806485,0
"255",14,0.565204367,0
"198",-19.5,0.571835254,0
"154",-8,0.57211394,0
"84",-123.5,0.576501537,0
"77",-29,0.578502378,0
"107",-124,0.580362908,0
"167",-70,0.580848886,0
"151",-17.5,0.582566114,0
"13",0.5,0.583713304,0
"205",0,0.583756542,0
"14",-143,0.586312859,0
"53",-1,0.58731115,0
"80",-185,0.588948765,0
"32",-1.5,0.595858368,0
"82",-15.5,0.596048426,0
"207",-13,0.596845796,0
"234",0,0.601250654,0
"63",0,0.601658146,0
"95",14,0.604122906,0
"89",18.5,0.607291967,0
"194",-12,0.609251064,0
"100",-110.5,0.610104155,0
"101",-12,0.61035672,0
"133",-188,0.612346376,0
"181",-167,0.617674687,0
"242",85,0.618136429,0
"157",35,0.621776147,0
"98",18.5,0.622621618,0
"267",-63,0.62309187,0
"215",-5,0.624366862,0
"2",0,0.629634589,0
"203",0,0.634498732,0
"7",-177,0.636061973,0
"10",-12.5,0.638971908,0
"72",-2,0.641042929,0
"208",-10,0.642562984,0
"111",-45,0.645521408,0
"212",0,0.651465834,0
"52",-5,0.651900132,0
"206",65,0.656928701,0
"88",15,0.657233154,0
"73",0,0.658765169,0
"42",24,0.66088512,0
"264",70,0.665711643,0
"272",0,0.666729059,0
"97",11.5,0.669102653,0
"90",-8,0.670937641,0
"188",-17.5,0.671199731,0
"250",-1,0.671853721,0
"45",-6,0.671871653,0
"241",-277,0.67247006,0
"28",-37,0.673631567,0
"230",0,0.67727239,0
"147",-126.5,0.677897082,0
"266",-38,0.679835409,0
"61",-13.5,0.682498654,0
"140",-76,0.685192291,0
"76",-20,0.686240789,0
"74",-168.5,0.688425845,0
"259",0,0.690368024,0
"69",-9.5,0.694017063,0
"113",-123,0.695677804,0
"239",0,0.710536529,0
"268",0,0.71099052,0
"81",-7.5,0.711801082,0
"161",-64,0.720531728,0
"39",-9.5,0.720595219,0
"25",-15,0.723663686,0
"197",55.5,0.730689578,0
"119",0,0.731368232,0
"220",0,0.732647046,0
"225",-1,0.733644313,0
"265",12,0.735136358,0
"56",-2,0.740059326,0
"226",0,0.747793717,0
"221",-41,0.751756758,0
"148",0,0.752621865,0
"158",0.5,0.757616152,0
"227",-1,0.760437531,0
"143",0,0.762307504,0
"136",43.5,0.767225453,0
"223",-1,0.772203284,0
"49",27,0.773190704,0
"122",0,0.77333209,0
"246",0,0.774393463,0
"57",-1,0.774740666,0
"256",-2,0.777348385,0
"108",-46.5,0.78041601,0
"218",12,0.788900218,0
"228",-69,0.790466025,0
"231",0,0.790624823,0
"168",0,0.79303143,0
"128",-192,0.793161948,0
"71",0,0.799508611,1
"145",-7.5,0.802003816,1
"22",-3,0.803837262,1
"196",69,0.80750553,1
"48",-2,0.80979286,1
"92",-44,0.8118037,1
"83",0,0.812240229,1
"78",0,0.812922676,1
"238",12,0.816430758,1
"253",-1,0.821273294,1
"116",-3,0.831429441,1
"152",-196,0.83260841,1
"190",0,0.833755949,1
"149",-1,0.834034693,1
"260",-7,0.834039474,1
"93",0,0.835424967,1
"189",0,0.836556051,1
"162",0,0.83712331,1
"171",-68,0.843410215,1
"252",-108,0.84341243,1
"130",0,0.845455533,1
"91",-2,0.847725191,1
"153",0,0.848509332,1
"262",0,0.850270504,1
"67",0,0.850777633,1
"59",-4,0.851367778,1
"127",-19,0.851577738,1
"185",-5,0.853414567,1
"172",-4,0.853593354,1
"1",-2.5,0.864352091,1
"175",-53,0.864390814,1
"24",-14,0.865721111,1
"121",-44,0.871468272,1
"125",-24,0.872204764,1
"103",-2,0.877339609,1
"21",0,0.877810932,1
"273",-7,0.879689762,1
"123",-49,0.883390898,1
"12",0,0.888283956,1
"202",-1,0.896039132,1
"200",-4,0.898369508,1
"131",-41,0.898596438,1
"235",0,0.898880332,1
"70",0,0.904233718,1
"33",-2,0.916498553,1
"31",1,0.92157076,1
"104",0,0.929770024,1
"37",-1,0.930797734,1
"114",0,0.931069654,1
"244",-1,0.932383026,1
"8",0,0.934342033,1
"229",-6,0.935506761,1
"169",-1,0.940144292,1
"210",-2,0.940599507,1
"263",-13,0.946033419,1
"233",-1,0.950816336,1
"26",0,0.951285257,1
"224",-7,0.952285909,1
"142",-4,0.95275886,1
"240",-2,0.954621547,1
"129",-1,0.955334229,1
"180",0,0.961241964,1
"251",0,0.963282088,1
"112",0,0.966241012,1
"174",0,0.968715275,1
"124",-9,0.971601847,1
"23",-9,0.972364495,1
"155",0,0.972985463,1
"27",0,0.981521189,1
"15",0,0.983273925,1
"138",0,0.986255668,1
"18",0,0.988249271,1
"20",1,0.989711373,1
"106",-1,0.990324669,1
"217",0,0.993198391,1
"213",-12,0.997893795,1
"102",-1,0.999637309,1
"55",-64,1.001322822,1
"134",-12,1.001889098,1
"137",-10,1.004149301,1
"243",-7,1.004502271,1
"54",-1,1.007788071,1
"5",0,1.008875305,1
"141",0,1.009413346,1
"47",0,1.009778711,1
"150",-1,1.010566495,1
"19",0,1.011042826,1
"3",0,1.013557289,1
"191",0,1.015798461,1
"192",0,1.022751897,1
"222",-7,1.024723076,1
"44",0,1.024966561,1
"120",-1,1.024990931,1
"187",-18,1.026129641,1
"139",-2,1.028813813,1
"156",0,1.033017142,1
"183",0,1.04791012,1
"36",0,1.059491984,1
"109",2,1.061015996,1
"60",0,1.071042685,1
"204",-6,1.074134966,1
"236",1,1.081027065,1
"38",0,1.08409149,1
"16",0,1.086108165,1
"209",0,1.09329406,1
"178",2,1.097872396,1
"163",0,1.107137242,1
"4",0,1.113268983,1
"94",-2,1.118239994,1
"219",0,1.123177267,1
"6",0,1.134349748,1
"11",-30,1.135279907,1
"34",0,1.148016241,1
"249",-1,1.149568129,1
"132",-2,1.151839335,1
"173",-53,1.185298038,1
"51",0,1.198422928,1
"257",-2,1.199241662,1
"17",0,1.26732273,1
