"","hydro","bio","Condition"
"225",-0.06,0.34226235651775,0
"38",-0.25,0.378193568732447,0
"57",0,0.419302847861815,0
"61",0,0.450768430182018,0
"170",-0.01,0.462401393992546,0
"234",-0.05,0.494128023985806,0
"237",-0.13,0.495631223835118,0
"209",0,0.522624284022243,0
"78",0,0.523741639068289,0
"165",0,0.53875491814753,0
"221",-0.015,0.544955568537334,0
"77",-0.03,0.546689118852535,0
"213",0,0.546703624029695,0
"41",-0.025,0.558419327312541,0
"146",0,0.568295736100572,0
"110",0,0.579925878194675,0
"241",0,0.585480484386891,0
"198",0,0.588794616964808,0
"105",0,0.594899258685758,0
"152",0,0.595695147775313,0
"150",-0.025,0.599513909498792,0
"46",-0.57,0.60262426008726,0
"148",0,0.605148784783245,0
"75",0,0.608287087937881,0
"246",-0.04,0.615129908357861,0
"173",-0.03,0.615664225985189,0
"49",-0.74,0.623241028610738,0
"106",0,0.631516226525879,0
"147",0,0.634672646958127,0
"193",0,0.63717887691109,0
"104",-0.03,0.640245475494223,0
"157",0,0.641554353016455,0
"194",-0.04,0.64249462511373,0
"166",-0.1,0.642747423073889,0
"169",0,0.643837952060089,0
"132",0,0.648072048019417,0
"140",0,0.656018127298068,0
"181",0,0.658290712763958,0
"34",-0.77,0.665264356721915,0
"83",-0.03,0.665988853043533,0
"48",-0.46,0.666605418320789,0
"240",-0.13,0.667312413755526,0
"124",0,0.67146245702737,0
"154",0,0.677544074620638,0
"121",0,0.67965147925043,0
"50",-0.4,0.68052901182696,0
"178",-0.18,0.686774003884454,0
"2",0,0.689047363957553,0
"115",0,0.68990199649865,0
"145",0,0.692436292962612,0
"199",0,0.694452050701905,0
"143",0,0.696025260701394,0
"29",-0.03,0.69653247493888,0
"160",0,0.703261418697267,0
"118",0,0.703823885914651,0
"129",0,0.705541104910127,0
"185",0,0.707053175211892,0
"73",0,0.708077852893586,0
"63",0,0.710587361976341,0
"228",0,0.716512505489145,0
"44",0,0.723756051560621,0
"134",0,0.724407967785592,0
"208",0,0.724581898285668,0
"5",0,0.724642190199785,0
"187",0,0.725554471594319,0
"226",-0.15,0.726289040931414,0
"47",-0.45,0.728459564003424,0
"39",-0.02,0.728900243172541,0
"4",0,0.734552966539611,0
"222",-0.01,0.742684380224028,0
"130",0,0.743664472121911,0
"204",0,0.750191484670754,0
"151",0,0.753659463691815,0
"42",-0.59,0.755722191430936,0
"235",0.04,0.755728071610213,0
"137",0,0.756087299020959,0
"131",0,0.757187793130469,0
"107",-0.04,0.757761593543978,0
"167",0,0.757795837430229,0
"128",0,0.760249926569419,0
"30",-0.8,0.761569763684936,0
"158",0,0.762332273928096,0
"117",0,0.764970908538783,0
"56",0,0.770021836074193,0
"97",0,0.770399987562743,0
"238",0,0.771261125269484,0
"214",-0.04,0.773265598239012,0
"190",0,0.77405248218109,0
"100",0,0.776865487882761,0
"175",0,0.777392510915912,0
"127",0,0.779883823711368,0
"54",-0.34,0.78285890239181,0
"155",0,0.784830414552132,0
"162",-0.04,0.787469784900835,0
"40",-0.28,0.791209312582331,0
"233",-0.11,0.791794570590697,0
"36",-0.64,0.791814325412526,0
"207",0.025,0.791963809954699,0
"101",0,0.80305034384295,0
"135",-0.01,0.803720075740531,0
"58",0,0.804507885181787,0
"248",0.035,0.805516741081928,0
"216",0,0.805758342806697,0
"90",-0.03,0.806386640920411,0
"80",0,0.806492534680651,0
"45",-0.63,0.812442361073054,0
"55",-0.34,0.816917679855192,0
"156",0,0.81703279700362,0
"159",-0.005,0.8187730422623,0
"74",0,0.821430245630919,0
"255",0,0.824147476595201,0
"52",-0.42,0.824569013858224,0
"163",0,0.82472705381548,0
"256",0,0.825396334558532,0
"168",0,0.826969588125352,0
"215",0,0.827393734961083,0
"65",-0.02,0.834397960767642,1
"230",-0.165,0.835092529886978,1
"114",0,0.838394233369554,1
"184",-0.26,0.839073178890033,1
"136",0,0.842953536202074,1
"113",0,0.847945331199099,1
"144",0,0.848542095548107,1
"16",0.05,0.848948027713861,1
"176",-0.005,0.853822767185208,1
"219",-0.16,0.859873376867544,1
"35",-0.47,0.860388787203921,1
"249",0,0.860487838504552,1
"116",0,0.861830584197613,1
"188",0,0.865474075567611,1
"37",-0.35,0.8654817047501,1
"247",0.045,0.866086933701864,1
"92",0,0.867913167267727,1
"126",0,0.868931699586731,1
"253",0,0.872305188941151,1
"133",0,0.87304277413387,1
"142",0,0.882911077552599,1
"243",0,0.883649222733734,1
"15",0,0.883711597101036,1
"242",0,0.885079170805295,1
"203",0,0.886038553815529,1
"220",0,0.88839813961275,1
