"","hydro","bio","Condition"
"338",81,0.20101656,0
"340",26,0.22569987,0
"98",-40,0.24113287,0
"399",-57,0.24667028,0
"320",-86,0.24770822,0
"88",-38,0.25195626,0
"189",-12,0.25220035,0
"258",-43,0.26301733,0
"90",-38,0.26984725,0
"224",-91.5,0.27796493,0
"210",-51.5,0.28885329,0
"99",-3,0.29408839,0
"206",-83,0.29779591,0
"190",-63.5,0.30883195,0
"68",-55,0.31196921,0
"203",-45,0.31867358,0
"67",-19,0.31891106,0
"346",-52,0.32171354,0
"315",-38,0.32405288,0
"61",-50,0.33288402,0
"367",-99.5,0.34032794,0
"227",-54.5,0.34387936,0
"337",-67,0.35978577,0
"326",76,0.36012937,0
"133",-59,0.3720908,0
"37",-1,0.37787701,0
"332",12,0.38067881,0
"316",-4.5,0.3812226,0
"205",-37,0.38448802,0
"232",0,0.38983584,0
"244",-81,0.39057908,0
"322",-4,0.39093934,0
"127",-38,0.39144727,0
"199",-21,0.39259579,0
"365",-116,0.39479215,0
"195",-34.5,0.39761767,0
"334",43,0.39927356,0
"275",-77,0.40584806,0
"387",-31,0.40702682,0
"62",-82,0.40734668,0
"200",-28,0.41666899,0
"112",-116,0.41813884,0
"238",-12,0.42016909,0
"221",-1.5,0.42371882,0
"89",1,0.42538158,0
"333",-1,0.42617241,0
"102",-20,0.42857332,0
"201",-63,0.42906154,0
"347",-81,0.43018938,0
"302",-27,0.43031389,0
"222",-1,0.43048171,0
"135",-32,0.43343419,0
"82",-50,0.43919335,0
"91",-79,0.44047644,0
"257",-30.5,0.44125561,0
"149",-2,0.44184056,0
"274",-48,0.44433776,0
"300",37.5,0.44466963,0
"245",-50,0.44541211,0
"146",-25,0.44670785,0
"307",-60.5,0.45126926,0
"236",-74.5,0.4520958,0
"259",-85,0.45728792,0
"72",-21,0.45783839,0
"255",-35.5,0.45802702,0
"64",-16,0.45820303,0
"313",-7,0.46101567,0
"348",-70,0.46288418,0
"400",-1,0.465791,0
"336",-11,0.47040609,0
"100",10,0.47239027,0
"138",-33,0.47509683,0
"397",0,0.48118297,0
"220",-63,0.48710971,0
"310",-49.5,0.48732614,0
"192",15,0.49112596,0
"26",0,0.49407019,0
"268",-70,0.50231064,0
"76",-9,0.50348232,0
"65",-57,0.50549524,0
"406",0,0.50553423,0
"212",-8.5,0.50950066,0
"243",-51,0.50989025,0
"239",-0.5,0.51140875,0
"233",-8.5,0.51186241,0
"267",-81,0.51334848,0
"256",10,0.51336926,0
"97",-104.5,0.51648834,0
"175",-2,0.51768928,0
"241",-47.5,0.51898804,0
"80",-34.5,0.51923379,0
"96",-212,0.52345272,0
"174",-56.5,0.52379135,0
"270",-78.5,0.52491091,0
"75",-74,0.52520388,0
"296",-1,0.52537195,0
"283",-53.5,0.52688053,0
"81",-22,0.5275603,0
"188",-39,0.52783324,0
"299",0,0.52828906,0
"260",-65,0.53014507,0
"202",-38.5,0.5304247,0
"249",-12.5,0.53114098,0
"246",-45,0.53327317,0
"235",-90,0.53549199,0
"291",-75,0.5397062,0
"323",-3,0.54050347,0
"265",-0.5,0.5428412,0
"264",-50.5,0.54651641,0
"254",-81,0.54884563,0
"324",0,0.5500631,0
"343",0,0.5550437,0
"321",-20,0.55805589,0
"92",-52.5,0.55818325,0
"101",-54,0.5589496,0
"132",26,0.5596484,0
"74",-21,0.55965578,0
"247",-13,0.56113256,0
"94",0,0.5622054,0
"79",-19,0.56609057,0
"285",-123,0.56802958,0
"95",-80,0.56951694,0
"350",55.5,0.57056767,0
"103",-43,0.57819127,0
"366",0,0.57858071,0
"228",-56.5,0.57989917,0
"342",0,0.57993177,0
"93",-57.5,0.58187625,0
"15",-3,0.58339355,0
"314",0.5,0.58483,0
"327",-21,0.58532046,0
"317",-2,0.58867072,0
"362",12,0.59035425,0
"39",0,0.59065022,0
"289",6,0.59210016,0
"408",0,0.59621084,0
"73",-31,0.59635442,0
"160",-1,0.59669067,0
"70",-60,0.59700165,0
"248",-5.5,0.59788416,0
"35",0,0.59795477,0
"349",69,0.60693452,0
"57",27,0.60907211,0
"359",-8,0.61540873,0
"292",-22,0.61667709,0
"11",0,0.61676591,0
"71",-26,0.61911187,0
"179",0,0.61935232,0
"209",0,0.61961235,0
"63",-80,0.6197525,0
"378",40.5,0.62324929,0
"237",0,0.62351203,0
"402",70,0.62490668,0
"123",66,0.62548919,0
"303",-52,0.62717829,0
"119",-40,0.62846723,0
"286",0,0.63052672,0
"163",0,0.63381972,0
"273",-46,0.63432898,0
"30",0,0.6366526,0
"240",-34.5,0.63704813,0
"182",0,0.63870126,0
"231",-62,0.64148822,0
"83",-77,0.6416907,0
"380",0,0.64189562,0
"86",0,0.6488247,0
"85",0,0.65157175,0
"278",-49.5,0.65292474,0
"308",-158,0.65427375,0
"218",-4,0.65482538,0
"284",0.5,0.65587449,0
"185",0.5,0.65625936,0
"386",0,0.65959483,0
"142",-1,0.65973673,0
"77",-18,0.66033222,0
"230",0,0.66225542,0
"184",-9,0.66263644,0
"109",0,0.67270937,0
"357",67,0.67317922,0
"197",0,0.67421387,0
"301",-10,0.67622219,0
"279",0,0.67833534,0
"213",-1,0.67925694,0
"151",-23,0.68067171,0
"282",-3,0.68769548,0
"393",-1,0.68864487,0
"242",-1,0.68979277,0
"217",-0.5,0.69643069,0
"353",0,0.69659429,0
"318",0,0.69739596,0
"330",0,0.69854011,0
"181",-12,0.70185628,0
"38",0,0.70403328,0
"325",0,0.70730241,0
"107",0,0.71047081,0
"215",-47,0.71096849,0
"43",0,0.71140243,0
"78",-76,0.71165834,0
"376",0,0.71594306,0
"114",-3,0.71801694,0
"344",0,0.71806876,0
"281",-23,0.7258856,0
"17",-4,0.72707352,0
"207",0,0.72741732,0
"263",-46,0.72745528,0
"339",-10,0.72786163,0
"53",-2,0.73111317,0
"2",0,0.73128893,0
"328",-3,0.73188399,0
"356",0,0.741828,0
"120",12,0.7446729,0
"173",0,0.74680691,0
"252",-1,0.75326017,0
"305",-1,0.75381748,0
"388",-1,0.75398841,0
"169",-38,0.75510049,0
"44",0,0.75642474,0
"4",-2,0.75676227,0
"36",0,0.75735263,0
"277",0,0.75747037,0
"183",-13,0.75984062,0
"27",0,0.75985826,0
