"","hydro","bio","Condition"
"245",-0.19,0.183599139,0
"184",431.03,0.201374381,0
"9",219.63,0.245344854,0
"29",1547.37,0.251518107,0
"99",62.66,0.261586052,0
"186",851.73,0.267087101,0
"65",3.08,0.278322752,0
"50",29.34,0.288398205,0
"46",19.97,0.298511551,0
"105",942.06,0.315296325,0
"43",25.82,0.321536142,0
"193",839.93,0.323600257,0
"159",22.27,0.324768515,0
"269",2.37,0.325978447,0
"254",-0.07,0.336326202,0
"216",19.24,0.341042086,0
"30",2.135,0.342753702,0
"68",1.31,0.343163724,0
"199",215.195,0.356140553,0
"182",8.135,0.36004191,0
"214",85.15,0.36326712,0
"73",0,0.363667656,0
"40",1.695,0.373333871,0
"35",9.135,0.378159997,0
"176",339.26,0.378943272,0
"166",32.38,0.383360503,0
"160",20.95,0.383948062,0
"75",0,0.38397079,0
"85",-0.12,0.387716525,0
"179",1756.96,0.401136144,0
"118",-1.85,0.405851308,0
"170",537.93,0.414811914,0
"198",218.88,0.415713181,0
"79",1.39,0.418259879,0
"10",-6.325,0.421878671,0
"62",352.28,0.423718824,0
"177",71.83,0.42624533,0
"41",14.8,0.428708937,0
"146",2.11,0.430074926,0
"63",-0.81,0.431080768,0
"194",1.49,0.431632994,0
"144",60.74,0.437732284,0
"117",-9.9,0.437914084,0
"98",0.365,0.440242596,0
"164",560.15,0.440769759,0
"86",-95.25,0.446283848,0
"258",332.85,0.450239728,0
"151",100.265,0.452239,0
"241",172.47,0.452343753,0
"100",117.37,0.45750017,0
"77",33.875,0.457976923,0
"195",829,0.458144986,0
"267",1.66,0.459240972,0
"157",61.085,0.460951692,0
"58",133.48,0.463317285,0
"255",-0.96,0.463611392,0
"96",10.275,0.464507671,0
"53",-0.07,0.468617825,0
"32",947.45,0.468643546,0
"181",398.67,0.471600347,0
"135",89.9,0.472861687,0
"88",8.99,0.483365473,0
"45",11.68,0.484253114,0
"61",15.9,0.486417705,0
"154",9.28,0.487045118,0
"165",0.07,0.487393908,0
"87",15.26,0.48943528,0
"270",-0.02,0.494128919,0
"188",1.01,0.499100256,0
"111",-2.48,0.501764249,0
"52",14.01,0.506118169,0
"80",197.96,0.509525634,0
"84",243.75,0.509890251,0
"28",-0.31,0.511033603,0
"74",34.885,0.511329712,0
"115",0,0.512236311,0
"97",987.72,0.513536282,0
"110",19.66,0.514617996,0
"107",250.53,0.514791041,0
"82",0.9,0.518573522,0
"140",1410.62,0.528576992,0
"90",30.55,0.530565885,0
"143",0,0.531084705,0
"225",-0.06,0.531300034,0
"42",87.5,0.532234303,0
"101",2.06,0.532718918,0
"126",16,0.534098016,0
"25",77.27,0.534908259,0
"76",3.16,0.53663685,0
"89",36.035,0.537708806,0
"113",299.39,0.54112994,0
"167",220.46,0.542317119,0
"262",0,0.550027354,0
"95",48.95,0.550293777,0
"108",49.625,0.55190933,0
"190",0,0.55460679,0
"14",381.56,0.558848559,0
"168",0,0.563735315,0
"252",423,0.565626326,0
"7",37.23,0.565791339,0
"197",1361.195,0.568863039,0
"128",78.95,0.56937449,0
"133",36.7,0.576533651,0
"69",9.315,0.577077692,0
"215",0,0.578580709,0
"189",0,0.579934665,0
"81",111.29,0.580337956,0
"158",0,0.582313829,0
"171",625.74,0.586815586,0
"211",0,0.591755844,0
"264",1109.565,0.591909932,0
"92",4.71,0.597490739,0
"39",15.545,0.607447699,0
"196",1312.59,0.607742872,0
"208",-1.87,0.611809758,0
"2",0,0.614464754,0
"49",68.89,0.620772767,0
"147",236.21,0.622205392,0
"78",0,0.622823226,0
"136",35.855,0.622864821,0
"116",-0.92,0.624261012,0
"13",74.315,0.625166341,0
"72",0.24,0.634095509,0
"272",-0.01,0.637976036,0
"230",-1.06,0.643367179,0
"121",61.405,0.645618026,0
"127",78.23,0.648606947,0
"228",756.38,0.650238781,0
"93",-0.005,0.651612645,0
"161",104.29,0.652571704,0
"152",78.325,0.653093615,0
"59",238.48,0.65415112,0
"237",-0.03,0.659594829,0
"206",4.35,0.673798678,0
"162",0,0.675369983,0
"122",0,0.678251774,0
"8",0,0.685257532,0
"119",-0.01,0.687723082,0
"125",33.06,0.689126334,0
"83",0,0.689696681,0
"71",-0.81,0.698033155,0
"202",-0.07,0.698524859,0
"57",-0.03,0.70037023,0
"149",0.67,0.700728735,0
"259",-0.05,0.701766333,0
"174",-0.33,0.704900137,0
"169",0,0.706258626,0
"55",4.01,0.710255874,0
"21",-0.05,0.710533905,0
"226",-0.175,0.713412686,0
"24",0,0.713944579,0
"56",0.2,0.714364636,0
