"","hydro","bio","Condition"
"338",-11,0.20101656,0
"340",-20,0.22569987,0
"98",-2,0.24113287,0
"399",-47,0.24667028,0
"320",-22,0.24770822,0
"88",-19,0.25195626,0
"189",-16,0.25220035,0
"258",-60,0.26301733,0
"90",-19,0.26984725,0
"224",-37,0.27796493,0
"210",-31.5,0.28885329,0
"99",-32.5,0.29408839,0
"206",15,0.29779591,0
"190",-7,0.30883195,0
"68",9.5,0.31196921,0
"203",-11,0.31867358,0
"67",-17.5,0.31891106,0
"346",-3,0.32171354,0
"315",-71,0.32405288,0
"61",-28.5,0.33288402,0
"367",11.5,0.34032794,0
"227",-10,0.34387936,0
"337",-18,0.35978577,0
"326",-10,0.36012937,0
"223",-2,0.36124504,0
"133",-35,0.3720908,0
"37",0,0.37787701,0
"332",-26,0.38067881,0
"316",-77,0.3812226,0
"205",-92,0.38448802,0
"232",0,0.38983584,0
"244",15,0.39057908,0
"322",-16,0.39093934,0
"127",-5,0.39144727,0
"199",-2.5,0.39259579,0
"365",-118,0.39479215,0
"195",-6.5,0.39761767,0
"334",-5,0.39927356,0
"275",-4,0.40584806,0
"387",2,0.40702682,0
"62",-63,0.40734668,0
"200",-17,0.41666899,0
"112",-118,0.41813884,0
"238",-44,0.42016909,0
"221",-5,0.42371882,0
"89",0,0.42538158,0
"333",-21,0.42617241,0
"102",-4,0.42857332,0
"201",-13.5,0.42906154,0
"347",-22,0.43018938,0
"302",-67,0.43031389,0
"222",0,0.43048171,0
"135",-20,0.43343419,0
"82",-13,0.43919335,0
"91",20,0.44047644,0
"257",15,0.44125561,0
"149",-8,0.44184056,0
"274",-92,0.44433776,0
"300",-45,0.44466963,0
"245",-3,0.44541211,0
"146",-1.5,0.44670785,0
"307",-24.5,0.45126926,0
"236",-90,0.4520958,0
"259",16,0.45728792,0
"72",-12,0.45783839,0
"255",-18.5,0.45802702,0
"64",-21,0.45820303,0
"313",-31,0.46101567,0
"348",-28.5,0.46288418,0
"400",0,0.465791,0
"336",-15.5,0.47040609,0
"100",-6,0.47239027,0
"138",-25.5,0.47509683,0
"397",0,0.48118297,0
"220",-91,0.48710971,0
"310",-14,0.48732614,0
"192",-9,0.49112596,0
"26",0,0.49407019,0
"268",-18,0.50231064,0
"76",-54,0.50348232,0
"65",-31,0.50549524,0
"406",-2,0.50553423,0
"212",-20,0.50950066,0
"243",20,0.50989025,0
"239",-12,0.51140875,0
"233",-27,0.51186241,0
"267",-57,0.51334848,0
"256",-6,0.51336926,0
"97",-21,0.51648834,0
"175",-8.5,0.51768928,0
"241",-52,0.51898804,0
"80",-17,0.51923379,0
"96",-3,0.52345272,0
"174",-12,0.52379135,0
"270",22,0.52491091,0
"75",-13,0.52520388,0
"296",-83,0.52537195,0
"283",-8.5,0.52688053,0
"81",-29,0.5275603,0
"188",-4.5,0.52783324,0
"299",0,0.52828906,0
"260",-43,0.53014507,0
"202",-33,0.5304247,0
"249",-22,0.53114098,0
"246",-19,0.53327317,0
"235",-8.5,0.53549199,0
"291",21,0.5397062,0
"323",-27.5,0.54050347,0
"265",-13,0.5428412,0
"264",20,0.54651641,0
"254",-18,0.54884563,0
"324",-5,0.5500631,0
"343",-4,0.5550437,0
"321",-11,0.55805589,0
"92",25,0.55818325,0
"101",-84,0.5589496,0
"132",-8,0.5596484,0
"74",-46,0.55965578,0
"247",-41,0.56113256,0
"94",-13,0.5622054,0
"79",-13,0.56609057,0
"285",-20.5,0.56802958,0
"95",24.5,0.56951694,0
"350",-6,0.57056767,0
"103",-4,0.57819127,0
"366",0,0.57858071,0
"228",-10.5,0.57989917,0
"342",0,0.57993177,0
"93",-21,0.58187625,0
"15",0,0.58339355,0
"314",-2,0.58483,0
"327",-20,0.58532046,0
"317",-20.5,0.58867072,0
"362",2,0.59035425,0
"39",0,0.59065022,0
"289",-57,0.59210016,0
"408",0,0.59621084,0
"73",-26,0.59635442,0
"160",0.5,0.59669067,0
"70",-14,0.59700165,0
"248",-28,0.59788416,0
"35",0,0.59795477,0
"349",-49,0.60693452,0
"57",-1,0.60907211,0
"359",1,0.61540873,0
"292",-35,0.61667709,0
"11",-1,0.61676591,0
"108",0,0.61824308,0
"71",-6,0.61911187,0
"179",0,0.61935232,0
"209",-11,0.61961235,0
"63",-54,0.6197525,0
"378",-23,0.62324929,0
"237",-4,0.62351203,0
"402",-6,0.62490668,0
"123",-9,0.62548919,0
"303",11.5,0.62717829,0
"390",-3,0.62795729,0
"119",0.5,0.62846723,0
"286",0,0.63052672,0
"163",-1.5,0.63381972,0
"273",-15,0.63432898,0
"30",0,0.6366526,0
"240",-13,0.63704813,0
"182",0,0.63870126,0
"231",-33,0.64148822,0
"83",-15,0.6416907,0
"380",-1,0.64189562,0
"86",0,0.6488247,0
"85",0,0.65157175,0
"278",-90,0.65292474,0
"308",-20.5,0.65427375,0
"218",-1,0.65482538,0
"284",-26.5,0.65587449,0
"185",-27,0.65625936,0
"386",0,0.65959483,0
"142",-0.5,0.65973673,0
"77",-10,0.66033222,0
"230",-1,0.66225542,0
"184",0,0.66263644,0
"113",-16,0.6633591,0
"109",0,0.67270937,0
"357",-9.5,0.67317922,0
"197",-1,0.67421387,0
"301",-11,0.67622219,0
"279",0,0.67833534,0
"213",-1,0.67925694,0
"151",-46,0.68067171,0
"391",-16,0.68341493,0
"282",-1,0.68769548,0
"393",0,0.68864487,0
"242",0,0.68979277,0
"217",3,0.69643069,0
"353",0,0.69659429,0
"318",-5,0.69739596,0
"330",0,0.69854011,0
"181",-3,0.70185628,0
"38",0,0.70403328,0
"325",0,0.70730241,0
"107",-1,0.71047081,0
"215",-15,0.71096849,0
"43",-1,0.71140243,0
"78",-15,0.71165834,0
"376",0,0.71594306,0
"114",1,0.71801694,0
"344",0,0.71806876,0
"281",-25,0.7258856,0
"17",-3,0.72707352,0
"207",0,0.72741732,0
"263",0,0.72745528,0
"339",-0.5,0.72786163,0
"53",-8,0.73111317,0
"2",0,0.73128893,0
"328",-1,0.73188399,0
"356",0,0.741828,0
"120",2,0.7446729,0
"173",-4,0.74680691,0
"252",-1,0.75326017,0
"305",-1,0.75381748,0
"388",0,0.75398841,0
"169",-12,0.75510049,0
"44",0,0.75642474,0
"4",0,0.75676227,0
"36",0,0.75735263,0
"277",0,0.75747037,0
"183",0,0.75984062,0
"27",0,0.75985826,0
"193",0,0.76085623,0
"139",-1,0.76090336,0
"216",-2,0.7613027,0
"407",0,0.76483984,1
"293",0,0.76631724,1
"13",-6,0.76776221,1
"214",-1,0.76985381,1
"251",-3,0.77230682,1
"354",-1,0.77382652,1
"372",0,0.77387405,1
"143",0,0.77545445,1
"384",-1,0.77677169,1
"157",0,0.77737617,1
"105",0,0.77948508,1
"250",0,0.78069075,1
"304",0,0.78080294,1
"47",0,0.78646633,1
"204",0,0.78695006,1
"401",-8.5,0.78805911,1
"42",0,0.79137978,1
"55",-5,0.7995555,1
"111",-18,0.80212795,1
"141",-15,0.80264027,1
"191",-4,0.80367303,1
"309",0,0.80809113,1
"187",-1,0.81032509,1
"28",0,0.81192753,1
"335",0,0.81400728,1
"371",0,0.81429965,1
"5",-8,0.81614835,1
"29",0,0.81793441,1
"290",-16,0.82384953,1
"280",-1,0.82403481,1
"374",0,0.82433817,1
"130",0,0.82507825,1
"144",0,0.82614786,1
"153",0,0.82843648,1
"161",-14.5,0.83076448,1
"177",-2,0.83116748,1
"358",-33,0.83424838,1
"331",-33,0.84116913,1
"176",0,0.8412268,1
"150",0,0.84298849,1
"164",0,0.84993517,1
"154",-42,0.8564385,1
"84",-33,0.85645776,1
"156",0,0.8580051,1
"379",0,0.85959193,1
"298",-3,0.86239896,1
"405",0,0.86558511,1
"24",-1,0.87005079,1
"312",0,0.87280097,1
"369",2,0.87322433,1
"168",7,0.8747066,1
"355",-34,0.87814381,1
"137",-8,0.8790989,1
"404",0,0.88012565,1
"225",0,0.88071249,1
"295",0,0.88341945,1
"196",0,0.88517182,1
"66",-34,0.88735875,1
"186",0,0.88872797,1
"134",0,0.89395534,1
"262",0,0.89486457,1
"398",0,0.89565755,1
"294",-0.5,0.89567969,1
"229",0,0.89703759,1
"129",-2,0.89775454,1
"128",0,0.89855991,1
"368",0,0.89963491,1
"110",-1,0.90088726,1
"226",0,0.90198083,1
"58",-33,0.90199033,1
"171",-0.5,0.90379534,1
"287",0,0.90395482,1
"59",-5,0.90600017,1
"21",0,0.90659145,1
"297",0,0.90666885,1
"12",0,0.90820362,1
"363",0,0.90972375,1
"69",-38,0.91038558,1
"351",0,0.91711734,1
"60",-31,0.91856489,1
"208",-4,0.9201868,1
"46",0,0.92513686,1
"10",0,0.92584944,1
"389",-2,0.92608869,1
"19",0,0.92623915,1
"167",-1,0.92886087,1
"345",0,0.93162723,1
"341",-1,0.93237563,1
"306",0,0.93637956,1
"115",2,0.93890552,1
"219",0,0.9416474,1
"261",-8,0.94169206,1
"145",0,0.94344596,1
"266",-4,0.94344805,1
"121",0,0.9501494,1
"269",-1,0.95047688,1
"403",2,0.9526149,1
"271",0,0.95729659,1
"382",0,0.9616216,1
"360",0,0.96380467,1
"56",-33,0.9656215,1
"34",0,0.96709257,1
"25",-1,0.9697914,1
"170",-25,0.97161437,1
"392",-1,0.97282498,1
"54",-33,0.97707689,1
"276",0,0.98248705,1
"45",-2,0.98461951,1
"41",0,0.98502314,1
"20",0,0.98517561,1
"198",-2,0.98677618,1
"180",-1,0.99119782,1
"373",0,1.00002614,1
"162",-2,1.00064442,1
"319",0,1.00765144,1
"6",0,1.01024097,1
"377",0,1.01070282,1
"311",-2,1.01150568,1
