"","hydro","bio","Condition"
"312",0,1.16297591,1
"121",-1,1.1699735,1
"325",0,1.17402996,1
"131",0,1.17584545,1
"8",0,1.17617629,1
"52",0,1.17759043,1
"167",-0.5,1.18079619,1
"54",-2,1.18093997,1
"7",0,1.18379215,1
"198",0,1.18438084,1
"290",-72,1.18630752,1
"116",0,1.18741016,1
"171",-2,1.18913156,1
"164",-1,1.18991554,1
"266",0,1.19086766,1
"136",27,1.19172239,1
"50",0,1.19558537,1
"110",-3,1.19958438,1
"319",0,1.19972201,1
"281",-23,1.20064581,1
"219",0,1.20295675,1
"288",-2,1.20418944,1
"159",-2,1.20517323,1
"118",-4,1.21294887,1
"23",-72,1.21564701,1
"117",-61,1.21608202,1
"293",-41,1.21707806,1
"87",-25,1.22327116,1
"145",27,1.22510636,1
"214",-1,1.22660656,1
"144",0,1.23393264,1
"261",0,1.235406,1
"172",0,1.23616257,1
"330",0,1.23885108,1
"104",-10,1.24511685,1
"204",0,1.24870745,1
"263",-46,1.25105429,1
"355",-25,1.25124773,1
"41",0,1.25138738,1
"329",-57,1.25414379,1
"48",0,1.25750981,1
"154",-1,1.26180663,1
"194",-11,1.26937981,1
"215",-47,1.27034609,1
"207",0,1.2731145,1
"34",0,1.27320413,1
"252",-1,1.27891558,1
"155",0,1.28016597,1
"344",0,1.29529466,1
"18",0,1.2958773,1
"2",0,1.29627794,1
"60",-57,1.29635419,1
"141",-72,1.29787326,1
"211",-1,1.30834475,1
"178",-1,1.30974948,1
"277",0,1.31439109,1
"10",0,1.31696774,1
"14",0,1.32741831,1
"31",-43,1.33194284,1
"106",0,1.33319724,1
"177",0,1.34085153,1
