"","hydro","bio","Condition"
"382",0,0,0
"391",-258,0.11204197,0
"258",-286.5,0.12843705,0
"399",-356.5,0.12914001,0
"407",0,0.1529985,0
"210",-35,0.20542871,0
"365",-302,0.22448387,0
"203",-30,0.23429339,0
"338",-272,0.24551089,0
"346",-20,0.25638837,0
"321",-29.5,0.2568856,0
"98",-2,0.266129,0
"37",0,0.33377852,0
"390",-254,0.33636642,0
"223",-254,0.33663512,0
"206",-359,0.3389655,0
"367",-359,0.3389655,0
"238",-39,0.35812668,0
"358",-33,0.35944321,0
"322",-3.5,0.38244883,0
"340",-20,0.38458256,0
"320",-3,0.38473677,0
"332",-3.5,0.38473878,0
"352",-358,0.38870889,0
"88",-141,0.38989811,0
"363",0,0.39320791,0
"190",-28,0.39645478,0
"244",-13,0.39806072,0
"112",-302,0.39845887,0
"179",-2,0.40431592,0
"90",-141,0.42151147,0
"35",0,0.42262585,0
"356",0,0.42581508,0
"61",-82,0.42953167,0
"384",-1,0.43721671,0
"362",0,0.43860735,0
"227",-43,0.43924677,0
"201",-13.5,0.44435759,0
"275",-37,0.44491679,0
"89",0,0.44813332,0
"386",0,0.45002717,0
"77",-32,0.45160413,0
"67",-58,0.45596072,0
"404",0,0.47978956,0
"326",-354.5,0.48636422,0
"140",0,0.49188019,0
"354",-3,0.49493697,0
"92",-363,0.49921918,0
"26",0,0.50063777,0
"189",-25,0.50659424,0
"199",-1,0.50749558,0
"334",-361,0.50994226,0
"402",-342,0.51000921,0
"381",0,0.51023943,0
"377",0,0.51029346,0
"315",-53,0.51117244,0
"175",-1,0.51148097,0
"224",-30,0.51395308,0
"72",-32,0.54496177,0
"283",-87,0.56215127,0
"403",0,0.5622131,0
"200",-4,0.56409891,0
"395",0,0.56445899,0
"255",-43,0.56476926,0
"406",0,0.56482775,0
"133",-119,0.56525695,0
"397",-143,0.57176397,0
"96",-357,0.57194799,0
"97",-199,0.57245645,0
"267",-43,0.5736453,0
"408",0,0.5795684,0
"405",0,0.58024666,0
"68",-30,0.58140572,0
"99",-4,0.58420235,0
"234",0,0.58790691,0
"62",-27.5,0.58896347,0
"109",-143,0.58976735,0
"393",-1.5,0.59386859,0
"221",-1,0.59636896,0
"64",-29,0.60294547,0
"316",-3.5,0.60391094,0
"195",-28.5,0.60644694,0
"300",-358.5,0.60786481,0
"63",-30.5,0.60968734,0
"73",-52,0.61217202,0
"75",-31,0.61386252,0
"348",-81,0.61506606,0
"11",0,0.61621207,0
"80",-64,0.61848048,0
"254",-66,0.61926361,0
"76",-31,0.62048115,0
"122",0,0.62480521,0
"389",0,0.62551223,0
"323",-350,0.62590045,0
"38",0,0.6328693,0
"310",-201,0.63452129,0
"246",-46,0.63499858,0
"289",-141,0.63519592,0
"357",-8,0.64005872,0
"39",0,0.64045402,0
"91",-364,0.6407612,0
"243",-362.5,0.64311282,0
"231",-23,0.64799035,0
"378",-64,0.65036397,0
"371",-1,0.65141167,0
"409",0,0.65536081,0
"79",-32,0.65591767,0
"123",-340,0.65599068,0
"302",-45,0.66097717,0
"59",-24.5,0.66784033,0
"239",-11,0.6683719,0
"260",-30.5,0.67000537,0
"366",0,0.67015301,0
"272",0,0.67124048,0
"333",-14,0.6730461,0
"359",-31,0.67321659,0
"241",-42,0.67352333,0
"385",-14,0.67421868,0
"188",-23,0.68350335,0
"165",0,0.68475636,0
"95",-363,0.68520605,0
"245",-192.5,0.69113914,0
"394",0,0.69602838,0
"388",0,0.69998073,0
"53",0,0.7016109,0
"236",-30.5,0.70428368,0
"270",-363,0.70731384,0
"372",0,0.70887591,0
"380",-1.5,0.71113,0
"307",-11,0.71737683,0
